Longitude,Latitude,Depth,OriginTime,x,y,z,Mag
 52.6129, 33.8500, 15.4704,2001-02-03 00:00:00, 10.4453,-72.0943, 15.4704,  4.0940
 52.6756, 33.4663, 17.7006,2001-02-03 00:01:10, 16.3212,-114.6468, 17.7006,  2.2438
 52.8855, 33.8705, 23.1296,2001-02-03 00:02:20, 35.6723,-69.7625, 23.1296,  4.2657
 52.5322, 33.9987, 13.5524,2001-02-03 00:03:30,  2.9779,-55.6032, 13.5524,  1.0478
 52.5376, 33.6518, 13.5152,2001-02-03 00:04:40,  3.4923,-94.0893, 13.5152,  1.7363
 52.6697, 33.8955, 17.0102,2001-02-03 00:05:50, 15.6968,-67.0455, 17.0102,  2.2552
 52.5382, 33.8415, 13.5578,2001-02-03 00:07:00,  3.5363,-73.0435, 13.5578,  2.6628
 52.7043, 33.5186, 18.5011,2001-02-03 00:08:10, 18.9774,-108.8460, 18.5011,  1.9523
 52.6546, 33.6198, 17.1789,2001-02-03 00:09:20, 14.3476,-97.6290, 17.1789,  2.2920
 52.5302, 34.1122, 13.7667,2001-02-03 00:10:30,  2.7883,-43.0142, 13.7667,  2.1717
 52.9321, 33.9438, 24.4171,2001-02-03 00:11:40, 39.9506,-61.6099, 24.4171,  3.6681
 52.5355, 33.4010, 12.8093,2001-02-03 00:12:50,  3.3053,-121.9077, 12.8093,  1.6438
 52.5772, 33.7671, 14.4993,2001-02-03 00:14:00,  7.1491,-81.2938, 14.4993,  0.3144
 52.6484, 33.7786, 17.3824,2001-02-03 00:15:10, 13.7474,-80.0170, 17.3824,  2.5330
 52.4676, 33.5994, 12.0855,2001-02-03 00:16:20, -3.0102,-99.9044, 12.0855,  4.9782
 52.8123, 33.5965, 20.7100,2001-02-03 00:17:30, 28.9922,-100.1783, 20.7100,  0.7637
 52.7717, 33.6685, 19.8289,2001-02-03 00:18:40, 25.1969,-92.1996, 19.8289,  3.7273
 52.4822, 33.7362, 12.3358,2001-02-03 00:19:50, -1.6454,-84.7224, 12.3358,  3.6307
 52.7790, 33.7987, 20.0165,2001-02-03 00:21:00, 25.8391,-77.7581, 20.0165,  1.1079
 52.5627, 33.7899, 13.5962,2001-02-03 00:22:10,  5.8049,-78.7647, 13.5962,  0.5156
