 DATE    ORIGIN    LAT N    LONG E    DEPTH    MAG NO GAP DMIN  RMS  ERH  ERZ QM
 10203 -159 59.93 33-51.06  52-37.01  21.15        25 137 40.1 0.14  0.3  0.5 B1
 10203  0 1 10.18 33-28.50  52-40.47  29.23        27 187 76.7 0.26  0.9  1.0 C1
 10203  0 2 19.35 33-52.09  52-53.12  27.59        25 133 54.1 0.25  0.6  1.0 B1
 10203  0 3 29.96 33-59.91  52-32.16  18.85        28 119 34.6 0.20  0.4  0.5 B1
 10203  0 4 40.10 33-39.52  52-32.16  20.48        28 163 57.7 0.16  0.4  0.7 C1
 10203  0 5 49.95 33-54.30  52-40.52  23.55        28 130 32.1 0.19  0.4  0.8 B1
 10203  0 7  0.04 33-50.36  52-32.67  19.67        28 138 45.3 0.16  0.4  0.5 C1
 10203  0 8  9.97 33-31.38  52-42.11  27.84        25 203 70.9 0.22  0.8  0.9 C1
 10203  0 9 19.95 33-37.11  52-39.17  24.58        24 167 61.9 0.15  0.4  0.8 C1
 10203  010 29.71 34- 7.09  52-31.88  18.13        28 107 27.4 0.24  0.5  0.5 B1
 10203  011 39.35 33-56.91  52-55.86  30.67        27 124 22.9 0.24  0.6  0.7 B1
 10203  012 50.13 33-23.99  52-32.57  19.93        27 200 74.3 0.26  1.0  1.2 C1
 10203  014  0.02 33-45.98  52-34.93  20.70        27 148 49.8 0.12  0.3  0.6 B1
 10203  015 10.07 33-47.23  52-39.43  25.78        26 145 44.4 0.13  0.3  0.7 B1
 10203  016 20.07 33-35.52  52-27.96  19.49        25 173 55.7 0.18  0.5  0.7 C1
 10203  017 29.98 33-35.92  52-48.65  30.64        24 168 61.1 0.11  0.3  0.5 C1
 10203  018 39.89 33-40.39  52-46.28  27.99        25 159 73.0 0.11  0.3  0.5 C1
 10203  019 50.24 33-44.00  52-28.74  18.87        26 152 49.7 0.17  0.4  0.6 C1
 10203  020 59.78 33-47.92  52-47.05  27.89        26 143 39.5 0.13  0.3  0.5 B1
 10203  022 10.16 33-47.75  52-34.59  20.32        26 144 47.3 0.18  0.4  0.6 C1
 10203  023 19.32 34- 1.77  52-51.53  27.52        28 116 13.2 0.26  0.6  0.8 B1
 10203  024 30.44 33-16.31  52-31.44  22.74        27 217 78.4 0.33  1.4  1.8 D1
 10203  025 39.26 34- 2.85  52-56.08  28.08        26 114 12.9 0.23  0.6  0.7 B1
 10203  026 50.16 33-45.81  52-33.32  21.19        26 148 51.4 0.15  0.4  0.6 C1
 10203  028  0.18 33-48.88  52-13.84   9.50        28 134 25.1 0.19  0.4  0.4 C1
 10203  029  9.41 34- 7.86  52-51.78  26.87        26 107  1.9 0.29  0.8  0.8 B1
 10203  030 20.02 33-42.62  52-43.47  27.32        25 154 50.3 0.12  0.3  0.5 C1
 10203  031 30.06 33-43.25  52-31.56  20.10        25 173 54.3 0.14  0.4  0.7 C1
 10203  032 40.07 33-29.28  52-33.71  21.97        27 187 69.7 0.25  0.9  1.1 C1
 10203  033 50.16 33-37.41  52-12.90  14.65        28 222 35.9 0.31  1.4  1.3 D1
 10203  035  0.12 33-21.03  52-45.52  29.51        26 203 89.0 0.28  1.0  1.2 C1
 10203  036  9.44 33-58.95  52-44.87  23.58        27 122 21.3 0.24  0.6  0.8 B1
 10203  037 20.13 34- 7.82  52-24.71  14.82        27 113 33.7 0.26  0.5  0.7 C1
 10203  038 29.43 33-48.23  52-58.05  31.90        25 139 39.3 0.20  0.6  0.7 C1
 10203  039 40.14 33-28.72  52-27.96  19.49        27 190 65.1 0.34  1.3  1.5 D1
 10203  040 49.98 33-51.74  52-37.14  21.17        27 135 39.0 0.16  0.3  0.5 C1
 10203  042  0.13 33-46.30  52-38.48  24.61        25 147 61.9 0.13  0.4  0.9 C1
 10203  043 10.30 33-40.32  52-27.97  18.76        25 161 51.2 0.19  0.5  0.7 C1
 10203  044 19.89 33-54.85  52-40.91  23.45        27 129 31.0 0.21  0.5  0.8 B1
 10203  045 29.92 33-39.11  52-50.02  31.90        25 161 55.1 0.08  0.2  0.4 C1
 10203  046 40.37 33-41.64  52-26.57  17.10        27 158 48.2 0.22  0.6  0.8 C1
 10203  047 50.15 33-59.48  52-26.30  15.63        26 118 43.0 0.18  0.4  0.6 C1
 10203  049  0.12 33-48.73  52-34.53  20.10        26 142 45.9 0.13  0.3  0.5 B1
 10203  050  9.86 33-26.23  52-51.94  32.28        24 190 78.9 0.15  0.6  1.2 C1
