                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS     ADS     MDS  GAP  RMS  ERH  ERZ
2001-02-03T00:00:00.000000Z  52.613  33.850  15.500   4.100   13   13   13 102.120  40.500  NaN  NaN None None
2001-02-03T00:01:10.000000Z  52.676  33.466  17.700   2.200   14   14   14 133.950  77.700  NaN  NaN None None
2001-02-03T00:02:20.000000Z  52.886  33.870  23.100   4.300   13   13   13 112.620  54.000  NaN  NaN None None
2001-02-03T00:03:30.000000Z  52.532  33.999  13.600   1.000   15   15   13  96.930  34.900  NaN  NaN None None
2001-02-03T00:04:40.000000Z  52.538  33.652  13.500   1.700   15   15   15 118.010  58.200  NaN  NaN None None
2001-02-03T00:05:50.000000Z  52.670  33.895  17.000   2.300   15   15   14 103.080  33.400  NaN  NaN None None
2001-02-03T00:07:00.000000Z  52.538  33.842  13.600   2.700   15   15   14 106.670  45.500  NaN  NaN None None
2001-02-03T00:08:10.000000Z  52.704  33.519  18.500   2.000   13   13   13 124.240  71.500  NaN  NaN None None
2001-02-03T00:09:20.000000Z  52.655  33.620  17.200   2.300   13   13   13 116.390  61.800  NaN  NaN None None
2001-02-03T00:10:30.000000Z  52.530  34.112  13.800   2.200   15   15   13  95.030  28.100  NaN  NaN None None
2001-02-03T00:11:40.000000Z  52.932  33.944  24.400   3.700   14   14   14 101.230  23.500  NaN  NaN None None
2001-02-03T00:12:50.000000Z  52.535  33.401  12.800   1.600   14   14   14 130.840  73.700  NaN  NaN None None
2001-02-03T00:14:00.000000Z  52.577  33.767  14.500   0.300   15   15   14 108.170  50.000  NaN  NaN None None
2001-02-03T00:15:10.000000Z  52.648  33.779  17.400   2.500   15   15   13 111.870  45.700  NaN  NaN None None
2001-02-03T00:16:20.000000Z  52.468  33.599  12.100   5.000   13   13   13 119.820  55.400  NaN  NaN None None
2001-02-03T00:17:30.000000Z  52.812  33.596  20.700   0.800   13   13   13 113.930  61.400  NaN  NaN None None
2001-02-03T00:18:40.000000Z  52.772  33.669  19.800   3.700   14   14   13 121.040  73.600  NaN  NaN None None
2001-02-03T00:19:50.000000Z  52.482  33.736  12.300   3.600   14   14   14 116.010  50.000  NaN  NaN None None
2001-02-03T00:21:00.000000Z  52.779  33.799  20.000   1.100   15   15   13 110.260  39.600  NaN  NaN None None
2001-02-03T00:22:10.000000Z  52.563  33.790  13.600   0.500   14   14   13 113.050  48.600  NaN  NaN None None
2001-02-03T00:23:20.000000Z  52.869  34.029  23.000   3.300   15   15   13  94.940  13.300  NaN  NaN None None
2001-02-03T00:24:30.000000Z  52.524  33.269  12.900   3.200   14   14   14 146.740  78.700  NaN  NaN None None
2001-02-03T00:25:40.000000Z  52.940  34.046  24.900   1.000   14   14   13  90.520  13.300  NaN  NaN None None
2001-02-03T00:26:50.000000Z  52.547  33.755  14.100   0.800   15   15   13 111.290  52.600  NaN  NaN None None
2001-02-03T00:28:00.000000Z  52.248  33.817   4.600   1.400   15   15   13 108.410  26.600  NaN  NaN None None
2001-02-03T00:29:10.000000Z  52.872  34.117  23.000   1.400   13   13   13  96.240   3.460  NaN  NaN None None
2001-02-03T00:30:20.000000Z  52.724  33.704  18.900   0.700   14   14   13 114.860  51.000  NaN  NaN None None
2001-02-03T00:31:30.000000Z  52.514  33.720  13.300   1.600   13   13   13 107.130  53.400  NaN  NaN None None
2001-02-03T00:32:40.000000Z  52.553  33.491  13.800   1.100   14   14   14 123.800  68.900  NaN  NaN None None
2001-02-03T00:33:50.000000Z  52.261  33.668   5.400   2.200   14   14   14 125.300  35.400  NaN  NaN None None
2001-02-03T00:35:00.000000Z  52.763  33.338  19.900   1.800   14   14   14 141.220  90.500  NaN  NaN None None
2001-02-03T00:36:10.000000Z  52.750  33.985  19.900   2.300   15   15   13  96.250  21.000  NaN  NaN None None
2001-02-03T00:37:20.000000Z  52.404  34.133   9.800   1.300   14   14   13  96.000  34.000  NaN  NaN None None
2001-02-03T00:38:30.000000Z  52.965  33.794  25.600   1.500   13   13   13 109.350  40.400  NaN  NaN None None
2001-02-03T00:39:40.000000Z  52.463  33.483  11.500   1.200   14   14   13 137.300  64.700  NaN  NaN None None
2001-02-03T00:40:50.000000Z  52.614  33.857  15.200   0.600   14   14   14 108.300  39.800  NaN  NaN None None
2001-02-03T00:42:00.000000Z  52.635  33.759  16.300   0.700   14   14   13 115.390  63.000  NaN  NaN None None
2001-02-03T00:43:10.000000Z  52.465  33.677  11.400   2.300   13   13   13 111.330  50.900  NaN  NaN None None
2001-02-03T00:44:20.000000Z  52.674  33.903  17.200   2.600   14   14   14 102.460  32.500  NaN  NaN None None
2001-02-03T00:45:30.000000Z  52.837  33.644  22.100   2.000   14   14   14 118.090  56.000  NaN  NaN None None
2001-02-03T00:46:40.000000Z  52.444  33.700  10.600   2.200   15   15   14 115.660  48.100  NaN  NaN None None
