                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS  ADS     MDS  GAP     RMS     ERH     ERZ
2001-02-02T23:59:59.930000Z  52.617  33.851  21.150   4.100   25  NaN  NaN  NaN  40.100  137   0.140   0.300   0.500
2001-02-03T00:01:10.180000Z  52.674  33.475  29.230   2.200   27  NaN  NaN  NaN  76.700  187   0.260   0.900   1.000
2001-02-03T00:02:19.350000Z  52.885  33.868  27.590   4.300   25  NaN  NaN  NaN  54.100  133   0.250   0.600   1.000
2001-02-03T00:03:29.960000Z  52.536  33.998  18.850   1.000   28  NaN  NaN  NaN  34.600  119   0.200   0.400   0.500
2001-02-03T00:04:40.100000Z  52.536  33.659  20.480   1.700   28  NaN  NaN  NaN  57.700  163   0.160   0.400   0.700
2001-02-03T00:05:49.950000Z  52.675  33.905  23.550   2.300   28  NaN  NaN  NaN  32.100  130   0.190   0.400   0.800
2001-02-03T00:07:00.040000Z  52.544  33.839  19.670   2.700   28  NaN  NaN  NaN  45.300  138   0.160   0.400   0.500
2001-02-03T00:08:09.970000Z  52.702  33.523  27.840   2.000   25  NaN  NaN  NaN  70.900  203   0.220   0.800   0.900
2001-02-03T00:09:19.950000Z  52.653  33.618  24.580   2.300   24  NaN  NaN  NaN  61.900  167   0.150   0.400   0.800
2001-02-03T00:10:29.710000Z  52.531  34.118  18.130   2.200   28  NaN  NaN  NaN  27.400  107   0.240   0.500   0.500
2001-02-03T00:11:39.350000Z  52.931  33.949  30.670   3.700   27  NaN  NaN  NaN  22.900  124   0.240   0.600   0.700
2001-02-03T00:12:50.130000Z  52.543  33.400  19.930   1.600   27  NaN  NaN  NaN  74.300  200   0.260   1.000   1.200
2001-02-03T00:14:00.020000Z  52.582  33.766  20.700   0.300   27  NaN  NaN  NaN  49.800  148   0.120   0.300   0.600
2001-02-03T00:15:10.070000Z  52.657  33.787  25.780   2.500   26  NaN  NaN  NaN  44.400  145   0.130   0.300   0.700
2001-02-03T00:16:20.070000Z  52.466  33.592  19.490   5.000   25  NaN  NaN  NaN  55.700  173   0.180   0.500   0.700
2001-02-03T00:17:29.980000Z  52.811  33.599  30.640   0.800   24  NaN  NaN  NaN  61.100  168   0.110   0.300   0.500
2001-02-03T00:18:39.890000Z  52.771  33.673  27.990   3.700   25  NaN  NaN  NaN  73.000  159   0.110   0.300   0.500
2001-02-03T00:19:50.240000Z  52.479  33.733  18.870   3.600   26  NaN  NaN  NaN  49.700  152   0.170   0.400   0.600
2001-02-03T00:20:59.780000Z  52.784  33.799  27.890   1.100   26  NaN  NaN  NaN  39.500  143   0.130   0.300   0.500
2001-02-03T00:22:10.160000Z  52.577  33.796  20.320   0.500   26  NaN  NaN  NaN  47.300  144   0.180   0.400   0.600
2001-02-03T00:23:19.320000Z  52.859  34.029  27.520   3.300   28  NaN  NaN  NaN  13.200  116   0.260   0.600   0.800
2001-02-03T00:24:30.440000Z  52.524  33.272  22.740   3.200   27  NaN  NaN  NaN  78.400  217   0.330   1.400   1.800
2001-02-03T00:25:39.260000Z  52.935  34.047  28.080   1.000   26  NaN  NaN  NaN  12.900  114   0.230   0.600   0.700
2001-02-03T00:26:50.160000Z  52.555  33.764  21.190   0.800   26  NaN  NaN  NaN  51.400  148   0.150   0.400   0.600
2001-02-03T00:28:00.180000Z  52.231  33.815   9.500   1.400   28  NaN  NaN  NaN  25.100  134   0.190   0.400   0.400
2001-02-03T00:29:09.410000Z  52.863  34.131  26.870   1.400   26  NaN  NaN  NaN   1.900  107   0.290   0.800   0.800
2001-02-03T00:30:20.020000Z  52.725  33.710  27.320   0.700   25  NaN  NaN  NaN  50.300  154   0.120   0.300   0.500
2001-02-03T00:31:30.060000Z  52.526  33.721  20.100   1.600   25  NaN  NaN  NaN  54.300  173   0.140   0.400   0.700
2001-02-03T00:32:40.070000Z  52.562  33.488  21.970   1.100   27  NaN  NaN  NaN  69.700  187   0.250   0.900   1.100
2001-02-03T00:33:50.160000Z  52.215  33.623  14.650   2.200   28  NaN  NaN  NaN  35.900  222   0.310   1.400   1.300
2001-02-03T00:35:00.120000Z  52.759  33.350  29.510   1.800   26  NaN  NaN  NaN  89.000  203   0.280   1.000   1.200
2001-02-03T00:36:09.440000Z  52.748  33.983  23.580   2.300   27  NaN  NaN  NaN  21.300  122   0.240   0.600   0.800
2001-02-03T00:37:20.130000Z  52.412  34.130  14.820   1.300   27  NaN  NaN  NaN  33.700  113   0.260   0.500   0.700
2001-02-03T00:38:29.430000Z  52.968  33.804  31.900   1.500   25  NaN  NaN  NaN  39.300  139   0.200   0.600   0.700
2001-02-03T00:39:40.140000Z  52.466  33.479  19.490   1.200   27  NaN  NaN  NaN  65.100  190   0.340   1.300   1.500
2001-02-03T00:40:49.980000Z  52.619  33.862  21.170   0.600   27  NaN  NaN  NaN  39.000  135   0.160   0.300   0.500
2001-02-03T00:42:00.130000Z  52.641  33.772  24.610   0.700   25  NaN  NaN  NaN  61.900  147   0.130   0.400   0.900
2001-02-03T00:43:10.300000Z  52.466  33.672  18.760   2.300   25  NaN  NaN  NaN  51.200  161   0.190   0.500   0.700
2001-02-03T00:44:19.890000Z  52.682  33.914  23.450   2.600   27  NaN  NaN  NaN  31.000  129   0.210   0.500   0.800
