                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS     ADS     MDS  GAP     RMS     ERH     ERZ
2001-02-02T23:59:59.800000Z  52.611  33.845  18.000   4.100   13   13   13 102.550  41.000  138   0.334   2.200   2.200
2001-02-03T00:01:09.700000Z  52.679  33.485  20.500   2.200   14   14   14 132.690  75.500  186   0.565   5.700   7.000
2001-02-03T00:02:19.600000Z  52.883  33.874  25.600   4.300   13   13   13 112.460  53.400  133   0.308   2.200   3.700
2001-02-03T00:03:29.800000Z  52.537  33.992  15.500   1.100   15   15   13  97.420  34.800  120   0.380   2.500   3.200
2001-02-03T00:04:39.800000Z  52.537  33.644  17.700   1.800   15   15   15 118.810  58.500  165   0.408   2.900   2.700
2001-02-03T00:05:49.800000Z  52.670  33.904  19.900   2.300   15   15   14 102.750  32.500  131   0.348   2.200   2.200
2001-02-03T00:06:59.800000Z  52.542  33.830  16.000   2.700   15   15   14 107.460  46.200  140   0.386   2.600   3.100
2001-02-03T00:08:09.500000Z  52.697  33.518  21.000   2.000   13   13   13 124.420  71.600  205   0.472   4.600   5.500
2001-02-03T00:09:19.500000Z  52.649  33.615  19.400   2.300   13   13   13 116.930  62.400  168   0.407   3.300   4.500
2001-02-03T00:10:29.600000Z  52.530  34.112  14.700   2.200   15   15   13  95.300  28.100  108   0.301   1.900   2.000
2001-02-03T00:11:39.600000Z  52.926  33.947  28.700   3.700   14   14   14 101.050  23.000  124   0.217   1.500   1.400
2001-02-03T00:12:49.100000Z  52.543  33.397  12.600   1.600   14   14   14 131.350  74.400  200   0.448   4.700   3.800
2001-02-03T00:13:59.900000Z  52.578  33.760  18.100   0.300   15   15   14 108.660  50.500  149   0.402   2.700   2.900
2001-02-03T00:15:09.700000Z  52.653  33.789  20.000   2.500   15   15   13 111.600  44.400  145   0.369   2.500   3.300
2001-02-03T00:16:19.200000Z  52.481  33.584  12.800   5.000   13   13   13 120.930  57.400  175   0.411   3.200   3.100
2001-02-03T00:17:30.000000Z  52.810  33.586  29.000   0.800   13   13   13 114.880  62.600  171   0.390   3.200   3.100
