eid,code,phase,noise,wet
0,RHPW,P,0.000,0.000
0,RHPW,S,0.000,0.000
0,XBVK,P,0.000,0.000
0,XBVK,S,0.000,0.000
0,LUEX,P,0.000,0.000
0,LUEX,S,0.000,0.000
0,CBZA,P,0.000,0.000
0,CBZA,S,0.000,0.000
0,DNOA,P,0.000,0.000
0,DNOA,S,0.000,0.000
0,DQYH,P,0.000,0.000
0,DQYH,S,0.000,0.000
0,FOUH,P,0.000,0.000
0,FOUH,S,0.000,0.000
0,MGUS,P,0.000,0.000
0,MGUS,S,0.000,0.000
0,APSL,P,0.000,0.000
0,APSL,S,0.000,0.000
0,RAWC,P,0.000,0.000
0,RAWC,S,0.000,0.000
0,VOCA,P,0.000,0.000
0,VOCA,S,0.000,0.000
0,RPKV,P,0.000,0.000
0,RPKV,S,0.000,0.000
0,QYDI,P,0.000,0.000
0,QYDI,S,0.000,0.000
1,RHPW,P,0.000,0.000
1,RHPW,S,0.000,0.000
1,LUEX,P,0.000,0.000
1,LUEX,S,0.000,0.000
1,CBZA,P,0.000,0.000
1,CBZA,S,0.000,0.000
1,AVTK,P,0.000,0.000
1,AVTK,S,0.000,0.000
1,RAWC,P,0.000,0.000
1,RAWC,S,0.000,0.000
1,MGUS,P,0.000,0.000
1,MGUS,S,0.000,0.000
1,DNOA,P,0.000,0.000
1,DNOA,S,0.000,0.000
1,APSL,P,0.000,0.000
1,APSL,S,0.000,0.000
1,DQYH,P,0.000,0.000
1,DQYH,S,0.000,0.000
1,FOUH,P,0.000,0.000
1,FOUH,S,0.000,0.000
1,VOCA,P,0.000,0.000
1,VOCA,S,0.000,0.000
1,RPKV,P,0.000,0.000
1,RPKV,S,0.000,0.000
1,QYDI,P,0.000,0.000
1,QYDI,S,0.000,0.000
1,HLUH,P,0.000,0.000
1,HLUH,S,0.000,0.000
2,XBVK,P,0.000,0.000
2,XBVK,S,0.000,0.000
2,DNOA,P,0.000,0.000
2,DNOA,S,0.000,0.000
2,MGUS,P,0.000,0.000
2,MGUS,S,0.000,0.000
2,LUEX,P,0.000,0.000
2,LUEX,S,0.000,0.000
2,AVTK,P,0.000,0.000
2,AVTK,S,0.000,0.000
2,RAWC,P,0.000,0.000
2,RAWC,S,0.000,0.000
2,FOUH,P,0.000,0.000
2,FOUH,S,0.000,0.000
2,VOCA,P,0.000,0.000
2,VOCA,S,0.000,0.000
2,CBZA,P,0.000,0.000
2,CBZA,S,0.000,0.000
2,DQYH,P,0.000,0.000
2,DQYH,S,0.000,0.000
2,QYDI,P,0.000,0.000
2,QYDI,S,0.000,0.000
2,RPKV,P,0.000,0.000
2,RPKV,S,0.000,0.000
2,HLUH,P,0.000,0.000
2,HLUH,S,0.000,0.000
3,RHPW,P,0.000,0.000
3,RHPW,S,0.000,0.000
3,XBVK,P,0.000,0.000
3,XBVK,S,0.000,0.000
3,LUEX,P,0.000,0.000
3,LUEX,S,0.000,0.000
3,AVTK,P,0.000,0.000
3,AVTK,S,0.000,0.000
3,CBZA,P,0.000,0.000
3,CBZA,S,0.000,0.000
3,DQYH,P,0.000,0.000
3,DQYH,S,0.000,0.000
3,DNOA,P,0.000,0.000
3,DNOA,S,0.000,0.000
