                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS  ADS     MDS  GAP     RMS     ERH     ERZ
2001-02-02T23:59:59.860000Z  52.612  33.851  21.240   4.100   19  NaN  NaN  NaN  40.400  159   0.150   0.400   0.600
2001-02-03T00:01:09.910000Z  52.688  33.490  24.390   2.200   21  NaN  NaN  NaN  79.100  185   0.200   1.000   1.300
2001-02-03T00:02:19.810000Z  52.908  33.879  30.860   4.300   14  NaN  NaN  NaN  67.400  208   0.290   1.300   1.300
2001-02-03T00:03:30.200000Z  52.525  34.005  20.620   1.000   15  NaN  NaN  NaN  53.400  118   0.180   0.700   1.200
2001-02-03T00:04:40.390000Z  52.532  33.671  22.450   1.700   17  NaN  NaN  NaN  69.900  161   0.200   0.800   1.500
2001-02-03T00:05:49.900000Z  52.672  33.908  22.590   2.300   17  NaN  NaN  NaN  32.000  150   0.180   0.600   1.000
2001-02-03T00:07:00.320000Z  52.537  33.825  22.860   2.700   16  NaN  NaN  NaN  52.800  184   0.160   0.700   1.200
2001-02-03T00:08:09.980000Z  52.704  33.522  27.810   2.000   17  NaN  NaN  NaN  71.000  203   0.220   1.100   1.500
2001-02-03T00:09:20.060000Z  52.656  33.623  25.400   2.300   16  NaN  NaN  NaN  61.300  192   0.170   0.800   1.500
2001-02-03T00:10:29.800000Z  52.534  34.118  18.300   2.200   19  NaN  NaN  NaN  27.400  142   0.200   0.600   0.500
2001-02-03T00:11:39.460000Z  52.922  33.964  29.980   3.700   15  NaN  NaN  NaN  21.100  174   0.200   1.100   0.900
2001-02-03T00:12:49.950000Z  52.542  33.414  18.210   1.600   13  NaN  NaN  NaN  73.800  198   0.280   2.000   2.800
2001-02-03T00:14:00.130000Z  52.582  33.767  21.720   0.300   18  NaN  NaN  NaN  49.700  168   0.180   0.600   1.200
2001-02-03T00:15:10.200000Z  52.644  33.790  28.080   2.500   15  NaN  NaN  NaN  44.700  145   0.130   0.500   0.700
2001-02-03T00:16:19.810000Z  52.466  33.569  19.910   5.000   16  NaN  NaN  NaN  57.200  228   0.120   0.800   0.800
2001-02-03T00:17:29.800000Z  52.814  33.606  27.540   0.800   13  NaN  NaN  NaN  83.700  214   0.190   1.200   1.100
2001-02-03T00:18:39.880000Z  52.771  33.676  28.050   3.700   16  NaN  NaN  NaN  77.400  159   0.080   0.300   0.500
2001-02-03T00:19:50.190000Z  52.482  33.729  19.170   3.600   15  NaN  NaN  NaN  58.400  171   0.130   0.500   0.800
2001-02-03T00:21:00.050000Z  52.774  33.814  29.340   1.100   18  NaN  NaN  NaN  38.000  188   0.120   0.500   0.400
2001-02-03T00:22:10.200000Z  52.573  33.799  20.690   0.500   19  NaN  NaN  NaN  47.200  143   0.160   0.500   0.800
2001-02-03T00:23:19.290000Z  52.862  34.024  26.970   3.300   18  NaN  NaN  NaN  13.800  117   0.270   0.800   1.100
2001-02-03T00:24:30.020000Z  52.535  33.283  18.660   3.200   13  NaN  NaN  NaN  78.700  215   0.100   0.800   0.900
2001-02-03T00:25:39.470000Z  52.941  34.045  30.880   1.000   18  NaN  NaN  NaN  52.800  114   0.180   0.800   1.100
2001-02-03T00:26:50.120000Z  52.552  33.762  20.720   0.800   18  NaN  NaN  NaN  51.700  148   0.190   0.600   1.100
