                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS  ADS  MDS  GAP     RMS     ERH     ERZ
2001-02-03T00:00:00.040000Z  52.609  33.850  15.268   4.100  104  104   89    0    0  137   0.040   0.202   0.172
2001-02-03T00:01:10.080000Z  52.673  33.500  18.589   2.200   57   57   39    0    0  184   0.084   0.342   0.268
2001-02-03T00:02:19.940000Z  52.870  33.872  22.343   4.300   82   82   67    0    0  133   0.076   0.316   0.239
2001-02-03T00:03:29.990000Z  52.533  34.001  12.445   1.000   88   88   54    0    0  119   0.087   0.554   0.245
2001-02-03T00:04:40.010000Z  52.538  33.662  13.770   1.700  115  115   98    0    0  162   0.065   0.198   0.125
2001-02-03T00:05:50.020000Z  52.667  33.901  16.766   2.300  121  121   84    0    0  131   0.059   0.228   0.211
2001-02-03T00:06:59.980000Z  52.542  33.834  12.940   2.700   97   97   71    0    0  139   0.061   0.266   0.435
2001-02-03T00:08:10.070000Z  52.692  33.539  19.742   2.000  124  124   68    0    0  178   0.082   0.312   0.148
2001-02-03T00:09:20.010000Z  52.644  33.630  17.704   2.300   96   96   61    0    0  166   0.057   0.236   0.154
2001-02-03T00:10:30.070000Z  52.531  34.123  13.031   2.200  126  126   80    0    0  106   0.098   0.375   0.225
2001-02-03T00:11:39.900000Z  52.916  33.942  23.484   3.700   50   50   41    0    0  124   0.102   0.347   0.225
2001-02-03T00:12:49.940000Z  52.545  33.424  12.401   1.600   24   24   19    0    0  196   0.087   0.509   0.303
2001-02-03T00:14:00.050000Z  52.575  33.767  14.437   0.300  124  124  103    0    0  148   0.054   0.200   0.113
2001-02-03T00:15:10.040000Z  52.648  33.787  17.735   2.500   89   89   61    0    0  145   0.049   0.180   0.134
2001-02-03T00:16:19.890000Z  52.479  33.601  12.311   5.000  141  141   85    0    0  171   0.081   0.235   0.140
2001-02-03T00:17:30.120000Z  52.802  33.609  21.066   0.800   54   54   48    0    0  167   0.080   0.421   0.359
2001-02-03T00:18:40.090000Z  52.761  33.684  19.670   3.700   89   89   80    0    0  158   0.070   0.230   0.166
2001-02-03T00:19:50.050000Z  52.482  33.734  12.137   3.600  134  134   89    0    0  152   0.053   0.190   0.089
2001-02-03T00:20:59.990000Z  52.772  33.804  19.782   1.100  136  136  122    0    0  142   0.056   0.187   0.119
2001-02-03T00:22:10.090000Z  52.570  33.795  13.665   0.500   87   87   76    0    0  144   0.051   0.195   0.164
2001-02-03T00:23:19.870000Z  52.847  34.020  22.305   3.300   92   92   63    0    0  117   0.089   0.511   0.643
2001-02-03T00:25:40.010000Z  52.922  34.043  25.833   1.000   28   28   20    0    0  114   0.085   0.659   0.641
2001-02-03T00:26:50.110000Z  52.550  33.759  14.738   0.800  127  127   95    0    0  149   0.052   0.202   0.110
2001-02-03T00:28:00.010000Z  52.247  33.816   3.918   1.400   88   88   73    0    0  135   0.088   0.367   0.214
2001-02-03T00:29:10.010000Z  52.854  34.117  22.713   1.400   61   61   30    0    0  108   0.195   0.684   0.483
2001-02-03T00:30:20.120000Z  52.714  33.719  19.243   0.700  104  104   94    0    0  153   0.061   0.210   0.125
2001-02-03T00:31:30.070000Z  52.521  33.726  13.668   1.600  162  162   95    0    0  153   0.054   0.200   0.098
2001-02-03T00:32:39.970000Z  52.560  33.511  14.171   1.100   85   85   68    0    0  184   0.116   0.342   0.275
2001-02-03T00:33:49.910000Z  52.267  33.667   5.263   2.200   52   52   37    0    0  161   0.092   0.598   0.383
2001-02-03T00:35:00.000000Z  52.766  33.356  21.833   1.800   17   17   15    0    0  202   0.038   0.306   0.264
2001-02-03T00:36:09.900000Z  52.740  33.980  19.542   2.300   92   92   85    0    0  122   0.068   0.289   0.235
2001-02-03T00:37:19.880000Z  52.410  34.124   8.820   1.300   32   32   27    0    0  104   0.079   0.395   0.233
2001-02-03T00:38:29.890000Z  52.942  33.809  24.231   1.500   42   42   29    0    0  139   0.101   0.465   0.436
2001-02-03T00:39:39.920000Z  52.476  33.499  11.720   1.200   94   94   81    0    0  187   0.082   0.295   0.181
2001-02-03T00:40:50.030000Z  52.610  33.858  15.135   0.600  131  131   88    0    0  136   0.041   0.219   0.180
2001-02-03T00:42:00.070000Z  52.631  33.771  17.016   0.700   88   88   77    0    0  147   0.053   0.183   0.123
2001-02-03T00:43:09.960000Z  52.473  33.680  11.322   2.300  112  112   87    0    0  160   0.057   0.187   0.091
2001-02-03T00:44:20.000000Z  52.673  33.910  16.948   2.600  113  113   86    0    0  130   0.059   0.244   0.222
2001-02-03T00:45:30.120000Z  52.821  33.660  22.136   2.000   46   46   39    0    0  160   0.076   0.290   0.266
2001-02-03T00:46:39.980000Z  52.444  33.699  10.267   2.200  127  127  113    0    0  157   0.057   0.184   0.094
2001-02-03T00:47:49.910000Z  52.437  33.987   9.539   1.300   85   85   81    0    0  118   0.106   0.293   0.138
2001-02-03T00:49:00.040000Z  52.570  33.806  13.358   1.600  110  110   91    0    0  142   0.044   0.194   0.138
2001-02-03T00:51:20.070000Z  52.580  33.651  14.934   0.900   92   92   83    0    0  164   0.067   0.205   0.141
2001-02-03T00:52:29.900000Z  52.690  33.971  16.774   2.800   95   95   71    0    0  123   0.095   0.298   0.260
2001-02-03T00:53:40.110000Z  52.766  33.710  20.822   2.300   92   92   75    0    0  154   0.075   0.229   0.158
2001-02-03T00:54:50.070000Z  52.550  33.728  12.786   0.700  137  137   97    0    0  153   0.054   0.205   0.103
2001-02-03T00:56:00.050000Z  52.566  33.715  15.277   3.200  101  101   92    0    0  155   0.059   0.201   0.109
2001-02-03T00:57:10.110000Z  52.668  33.700  18.185   1.700  100  100   77    0    0  156   0.066   0.204   0.129
2001-02-03T00:58:20.060000Z  52.602  33.663  15.845   1.500   92   92   76    0    0  162   0.078   0.212   0.146
2001-02-03T00:59:29.960000Z  52.404  33.939   8.995   3.300  108  108   87    0    0  123   0.062   0.290   0.133
2001-02-03T01:00:39.970000Z  52.793  33.845  20.705   2.200  103  103   75    0    0  137   0.059   0.222   0.153
2001-02-03T01:01:50.030000Z  52.525  33.701  12.593   2.600  126  126   94    0    0  157   0.066   0.193   0.070
2001-02-03T01:02:59.910000Z  52.319  33.869   5.191   2.000  104  104   68    0    0  130   0.093   0.290   0.176
2001-02-03T01:04:09.990000Z  52.643  33.828  17.949   2.200  101  101   86    0    0  140   0.074   0.189   0.158
2001-02-03T01:05:20.010000Z  52.595  33.972  14.032   0.900   87   87   57    0    0  123   0.086   0.322   0.197
2001-02-03T01:06:30.040000Z  52.807  33.814  21.744   2.900  118  118   92    0    0  141   0.076   0.197   0.133
2001-02-03T01:07:40.070000Z  52.684  33.551  19.105   1.500  114  114   70    0    0  176   0.080   0.299   0.168
2001-02-03T01:08:49.860000Z  52.461  34.113   9.325   1.200   72   72   51    0    0  106   0.103   0.321   0.226
2001-02-03T01:09:59.940000Z  52.551  33.559  14.162   4.300  101  101   70    0    0  177   0.071   0.259   0.220
2001-02-03T01:11:10.100000Z  52.688  33.528  19.941   2.800  105  105   76    0    0  180   0.085   0.318   0.155
2001-02-03T01:12:20.010000Z  52.314  33.838   6.083   1.600   87   87   59    0    0  134   0.094   0.306   0.185
2001-02-03T01:13:30.060000Z  52.592  33.805  14.785   2.700   85   85   68    0    0  143   0.043   0.212   0.173
