                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS     ADS     MDS  GAP  RMS  ERH  ERZ
2001-02-03T00:00:00.000000Z  52.613  33.850  15.500   4.100   10   10   10 115.830  40.500  NaN  NaN None None
2001-02-03T00:01:10.000000Z  52.676  33.466  17.700   2.200   11   11    9 132.040  79.700  NaN  NaN None None
2001-02-03T00:02:20.000000Z  52.886  33.870  23.100   4.300   10   10   10 112.130  69.600  NaN  NaN None None
2001-02-03T00:03:30.000000Z  52.532  33.999  13.600   1.000   12   12    9 109.910  34.900  NaN  NaN None None
2001-02-03T00:04:40.000000Z  52.538  33.652  13.500   1.700   12   12   11 108.060  58.200  NaN  NaN None None
2001-02-03T00:05:50.000000Z  52.670  33.895  17.000   2.300   13   13   11  98.180  33.400  NaN  NaN None None
2001-02-03T00:07:00.000000Z  52.538  33.842  13.600   2.700   12   12   10 110.810  45.500  NaN  NaN None None
2001-02-03T00:08:10.000000Z  52.704  33.519  18.500   2.000   13   13    9 123.240  71.500  NaN  NaN None None
2001-02-03T00:09:20.000000Z  52.655  33.620  17.200   2.300   13   13    9 116.690  61.800  NaN  NaN None None
2001-02-03T00:10:30.000000Z  52.530  34.112  13.800   2.200   12   12    9 105.600  28.100  NaN  NaN None None
2001-02-03T00:11:40.000000Z  52.932  33.944  24.400   3.700   11   11   10  88.980  23.500  NaN  NaN None None
2001-02-03T00:12:50.000000Z  52.535  33.401  12.800   1.600   11   11    9 143.750  73.700  NaN  NaN None None
2001-02-03T00:14:00.000000Z  52.577  33.767  14.500   0.300   13   13   12 111.710  50.000  NaN  NaN None None
2001-02-03T00:15:10.000000Z  52.648  33.779  17.400   2.500   12   12    9 121.760  45.700  NaN  NaN None None
2001-02-03T00:16:20.000000Z  52.468  33.599  12.100   5.000   13   13    9 124.220  55.400  NaN  NaN None None
2001-02-03T00:17:30.000000Z  52.812  33.596  20.700   0.800   10   10   10 117.510  84.100  NaN  NaN None None
2001-02-03T00:18:40.000000Z  52.772  33.669  19.800   3.700   11   11   11 105.820  73.600  NaN  NaN None None
2001-02-03T00:19:50.000000Z  52.482  33.736  12.300   3.600   13   13   10 108.730  50.000  NaN  NaN None None
2001-02-03T00:21:00.000000Z  52.779  33.799  20.000   1.100   12   12   12 102.200  39.600  NaN  NaN None None
2001-02-03T00:22:10.000000Z  52.563  33.790  13.600   0.500   11   11   11 111.200  48.600  NaN  NaN None None
2001-02-03T00:23:20.000000Z  52.869  34.029  23.000   3.300   13   13   11  97.290  13.300  NaN  NaN None None
2001-02-03T00:24:30.000000Z  52.524  33.269  12.900   3.200   11   11    9 145.540  78.700  NaN  NaN None None
2001-02-03T00:25:40.000000Z  52.940  34.046  24.900   1.000   11   11    9  97.370  39.000  NaN  NaN None None
2001-02-03T00:26:50.000000Z  52.547  33.755  14.100   0.800   13   13   11 119.360  52.600  NaN  NaN None None
2001-02-03T00:28:00.000000Z  52.248  33.817   4.600   1.400   12   12   12  99.020  26.600  NaN  NaN None None
2001-02-03T00:29:10.000000Z  52.872  34.117  23.000   1.400   10   10    9  98.840   3.460  NaN  NaN None None
2001-02-03T00:30:20.000000Z  52.724  33.704  18.900   0.700   11   11   11 110.080  51.000  NaN  NaN None None
2001-02-03T00:31:30.000000Z  52.514  33.720  13.300   1.600   13   13    9 109.810  53.400  NaN  NaN None None
2001-02-03T00:32:40.000000Z  52.553  33.491  13.800   1.100   11   11   10 117.170  68.900  NaN  NaN None None
2001-02-03T00:33:50.000000Z  52.261  33.668   5.400   2.200   11   11    9 115.250  35.400  NaN  NaN None None
2001-02-03T00:35:00.000000Z  52.763  33.338  19.900   1.800   11   11   10 154.790  93.800  NaN  NaN None None
2001-02-03T00:36:10.000000Z  52.750  33.985  19.900   2.300   12   12   12  90.180  21.000  NaN  NaN None None
2001-02-03T00:37:20.000000Z  52.404  34.133   9.800   1.300   13   13   12  90.680  34.000  NaN  NaN None None
2001-02-03T00:38:30.000000Z  52.965  33.794  25.600   1.500   10   10   10 103.820  64.600  NaN  NaN None None
2001-02-03T00:39:40.000000Z  52.463  33.483  11.500   1.200   11   11   11 136.780  64.700  NaN  NaN None None
2001-02-03T00:40:50.000000Z  52.614  33.857  15.200   0.600   11   11    9 101.470  39.800  NaN  NaN None None
2001-02-03T00:42:00.000000Z  52.635  33.759  16.300   0.700   11   11   11 109.570  63.000  NaN  NaN None None
2001-02-03T00:43:10.000000Z  52.465  33.677  11.400   2.300   13   13   12 116.780  50.900  NaN  NaN None None
2001-02-03T00:44:20.000000Z  52.674  33.903  17.200   2.600   11   11   10 118.260  65.300  NaN  NaN None None
2001-02-03T00:45:30.000000Z  52.837  33.644  22.100   2.000   11   11   10 117.110  56.000  NaN  NaN None None
2001-02-03T00:46:40.000000Z  52.444  33.700  10.600   2.200   12   12   12 119.650  48.100  NaN  NaN None None
2001-02-03T00:47:50.000000Z  52.439  33.990  10.700   1.300   10   10   10 104.370  45.300  NaN  NaN None None
2001-02-03T00:49:00.000000Z  52.573  33.808  13.700   1.600   12   12   12 114.630  56.400  NaN  NaN None None
2001-02-03T00:50:10.000000Z  52.873  33.428  22.900   1.900   10   10    9 141.580  79.900  NaN  NaN None None
2001-02-03T00:51:20.000000Z  52.581  33.640  14.400   0.900   10   10   10 114.120  62.200  NaN  NaN None None
2001-02-03T00:52:30.000000Z  52.686  33.980  17.600   2.800   13   13   11 102.940  24.900  NaN  NaN None None
2001-02-03T00:53:40.000000Z  52.785  33.697  20.900   2.300   11   11   10 110.740  50.600  NaN  NaN None None
2001-02-03T00:54:50.000000Z  52.546  33.730  12.800   0.700   13   13   11 109.400  55.000  NaN  NaN None None
