                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS     ADS     MDS  GAP     RMS     ERH     ERZ
2001-02-02T23:59:59.100000Z  52.577  33.829  17.600   4.100   10   10   10 118.660  44.200  216   0.200   2.400   1.600
2001-02-03T00:01:09.500000Z  52.682  33.503  17.800   2.200   11   11    9 129.540  77.800  184   0.497   5.300   6.800
2001-02-03T00:02:19.500000Z  52.880  33.874  24.800   4.300   10   10   10 111.980  69.500  133   0.343   3.000   5.800
2001-02-03T00:03:29.600000Z  52.535  34.006  13.800   1.100   12   12    9 109.760  34.300  135   0.368   3.200   3.400
2001-02-03T00:04:39.700000Z  52.539  33.641  16.600   1.800   12   12   11 108.830  58.800  166   0.372   2.900   3.500
2001-02-03T00:05:49.700000Z  52.676  33.897  19.800   2.300   13   13   11  98.130  32.900  132   0.373   2.700   2.400
2001-02-03T00:06:59.700000Z  52.547  33.827  15.600   2.700   12   12   10 111.850  46.100  164   0.374   3.100   3.700
2001-02-03T00:08:09.400000Z  52.698  33.518  20.100   2.000   13   13    9 123.320  71.500  205   0.472   5.100   6.200
2001-02-03T00:09:19.700000Z  52.652  33.606  21.200   2.300   13   13    9 117.850  63.200  170   0.404   3.900   5.300
2001-02-03T00:10:29.500000Z  52.531  34.116  14.100   2.200   12   12    9 105.820  27.700  108   0.289   2.200   2.600
2001-02-03T00:11:39.500000Z  52.929  33.940  26.400   3.700   11   11   10  89.100  23.800  125   0.267   2.100   2.400
2001-02-03T00:12:49.900000Z  52.527  33.405  16.900   1.600   11   11    9 143.740  72.700  200   0.508   6.200   6.900
2001-02-03T00:14:00.000000Z  52.578  33.760  18.500   0.300   13   13   12 112.210  50.500  169   0.410   3.300   2.800
2001-02-03T00:15:09.300000Z  52.630  33.759  21.300   2.600   12   12    9 123.970  48.300  211   0.319   4.100   4.300
2001-02-03T00:16:19.500000Z  52.482  33.578  14.800   5.000   13   13    9 125.850  57.800  175   0.340   3.600   3.700
2001-02-03T00:17:29.300000Z  52.815  33.616  19.100   0.800   10   10   10 116.480  83.400  192   0.332   4.500   5.500
2001-02-03T00:18:39.400000Z  52.771  33.681  18.600   3.700   11   11   11 105.270  72.200  158   0.305   2.500   4.100
2001-02-03T00:19:49.400000Z  52.489  33.727  12.000   3.600   13   13   10 109.460  50.800  172   0.472   3.900   4.000
2001-02-03T00:20:59.800000Z  52.782  33.799  22.800   1.100   12   12   12 102.180  39.400  167   0.331   2.700   4.000
