                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS  ADS     MDS  GAP     RMS     ERH     ERZ
2012-08-11T12:23:15.510000Z  46.797  38.418   2.600   6.500   29  NaN  NaN  NaN  14.700   76   0.120   0.300   0.500
2012-08-11T12:28:46.330000Z  46.783  38.434  21.330   3.500   27  NaN  NaN  NaN  26.000   52   0.080   0.200   0.300
2012-08-11T12:49:15.770000Z  46.693  38.385  12.490   4.600   16  NaN  NaN  NaN  31.400   83   0.080   0.500   0.700
2012-08-11T13:14:05.340000Z  46.668  38.370   1.060   4.400   27  NaN  NaN  NaN  33.200   86   0.110   0.200   0.500
2012-08-11T13:23:15.120000Z  46.731  38.495   7.470   3.700   28  NaN  NaN  NaN  27.900   54   0.100   0.200   0.500
2012-08-11T13:42:11.880000Z  46.679  38.400  14.670   4.000   27  NaN  NaN  NaN  33.000   82   0.180   0.500   0.800
2012-08-11T14:14:53.810000Z  46.703  38.502  27.100   2.800   30  NaN  NaN  NaN   3.100   49   0.100   0.200   0.200
2012-08-11T14:25:15.440000Z  46.680  38.428  11.490   4.300   15  NaN  NaN  NaN  33.900  109   0.070   0.300   0.500
2012-08-11T14:55:57.280000Z  46.742  38.429   5.440   3.100   29  NaN  NaN  NaN  29.000   57   0.090   0.200   0.400
2012-08-11T15:21:14.790000Z  46.777  38.443  16.790   4.700   32  NaN  NaN  NaN  27.000  108   0.100   0.200   0.300
2012-08-11T16:00:50.520000Z  46.797  38.412  15.590   4.000   28  NaN  NaN  NaN  23.800   77   0.100   0.300   0.400
2012-08-11T16:15:04.300000Z  46.672  38.434  16.170   2.700   28  NaN  NaN  NaN  33.700   54   0.100   0.300   0.300
2012-08-11T16:21:53.080000Z  46.645  38.412  19.270   4.100   17  NaN  NaN  NaN  36.200  108   0.080   0.300   0.300
2012-08-11T16:34:32.670000Z  46.657  38.451  15.020   3.300   27  NaN  NaN  NaN  36.800   47   0.090   0.200   0.300
2012-08-11T17:37:58.560000Z  46.868  38.400  22.580   2.100   28  NaN  NaN  NaN  17.700   60   0.110   0.300   0.300
2012-08-11T17:45:44.530000Z  46.789  38.410   8.850   2.500   30  NaN  NaN  NaN  24.400   52   0.140   0.300   0.500
2012-08-11T17:49:25.740000Z  46.833  38.430  16.390   2.600   28  NaN  NaN  NaN  20.200   52   0.140   0.400   0.400
2012-08-11T17:58:33.350000Z  46.795  38.377   8.640   4.100   28  NaN  NaN  NaN  22.500   51   0.110   0.300   0.400
2012-08-11T18:13:03.230000Z  46.645  38.382   2.650   3.000   27  NaN  NaN  NaN  13.700   48   0.090   0.200   0.300
