                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS  ADS  MDS  GAP     RMS     ERH     ERZ
2012-08-11T12:23:15.280000Z  46.799  38.419   2.946   6.500  125  125   67    0    0   44   0.133   0.843   0.841
2012-08-11T12:28:46.080000Z  46.785  38.434  22.043   3.500  188  188   96    0    0   43   0.077   0.662   0.621
2012-08-11T12:49:15.520000Z  46.693  38.382  13.570   4.600  136  136   84    0    0   45   0.084   0.672   0.664
2012-08-11T13:14:05.400000Z  46.670  38.376   3.931   4.400  133  133   66    0    0   45   0.096   0.970   1.200
2012-08-11T13:23:14.880000Z  46.731  38.494   9.411   3.700  108  108   59    0    0   38   0.087   0.747   0.693
2012-08-11T13:42:11.550000Z  46.678  38.405  14.674   4.000  140  140   72    0    0   43   0.114   0.676   0.631
2012-08-11T14:14:53.530000Z  46.703  38.501  27.531   2.800  116  116   63    0    0   37   0.094   0.967   0.945
2012-08-11T14:25:15.160000Z  46.680  38.430  12.529   4.300   95   95  106    0    0   41   0.093   0.667   0.612
2012-08-11T14:55:57.040000Z  46.741  38.429   6.540   3.100  171  171  102    0    0   42   0.091   0.671   0.680
2012-08-11T15:21:14.540000Z  46.777  38.445  17.464   4.700  194  194   96    0    0   42   0.074   0.647   0.451
2012-08-11T16:00:50.230000Z  46.797  38.412  16.210   4.000  149  149   86    0    0   44   0.061   0.655   0.455
2012-08-11T16:15:04.050000Z  46.672  38.432  17.132   2.700  164  164   80    0    0   41   0.095   0.675   0.572
2012-08-11T16:21:52.780000Z  46.649  38.415  19.985   4.100   94   94   81    0    0   41   0.063   0.698   0.576
2012-08-11T16:34:32.450000Z  46.656  38.448  16.194   3.300  195  195   99    0    0   39   0.083   0.682   0.589
2012-08-11T17:37:58.320000Z  46.869  38.400  22.878   2.100  184  184   84    0    0   45   0.112   0.648   0.553
2012-08-11T17:45:44.260000Z  46.788  38.410   9.393   2.500  151  151   77    0    0   44   0.109   0.700   0.695
2012-08-11T17:49:25.520000Z  46.828  38.424  17.867   2.600  134  134   70    0    0   44   0.118   0.647   0.488
2012-08-11T17:58:33.080000Z  46.795  38.380   9.169   4.100  185  185   81    0    0   47   0.125   0.648   0.589
2012-08-11T18:13:03.160000Z  46.644  38.382   5.353   3.000  121  121   54    0    0   44   0.075   0.826   0.843
2012-08-11T18:21:44.520000Z  46.709  38.444  19.809   2.600  155  155   85    0    0   41   0.094   0.735   0.702
2012-08-11T19:12:04.600000Z  46.793  38.432  20.990   2.900  137  137   85    0    0   43   0.085   0.677   0.553
2012-08-11T19:29:29.240000Z  46.795  38.441  26.466   2.600  147  147   92    0    0   42   0.094   0.715   0.590
2012-08-11T19:30:45.080000Z  46.927  38.444  23.282   2.700  118  118   62    0    0   51   0.092   0.696   0.623
2012-08-11T19:40:17.120000Z  46.801  38.445  21.039   2.600  185  185  103    0    0   42   0.119   0.670   0.535
2012-08-11T20:10:30.060000Z  46.772  38.424  14.964   3.400  118  118   60    0    0   43   0.104   0.674   0.510
2012-08-11T20:29:18.560000Z  46.848  38.391   4.383   2.600  128  128   75    0    0   46   0.094   0.773   0.687
2012-08-11T20:37:27.360000Z  46.799  38.463  20.459   2.300  181  181  102    0    0   41   0.081   0.662   0.565
2012-08-11T20:45:46.780000Z  46.690  38.420  14.749   2.900  168  168   99    0    0   42   0.124   0.678   0.625
2012-08-11T21:13:21.240000Z  46.665  38.442  12.418   2.400  147  147   90    0    0   40   0.112   0.673   0.632
2012-08-11T21:18:35.040000Z  46.733  38.436  20.110   2.600  172  172  100    0    0   42   0.088   0.751   0.850
2012-08-11T21:21:13.980000Z  46.796  38.454  19.143   2.700  158  158   93    0    0   41   0.074   0.684   0.492
