eid,code,phase,noise,wet
0,TVRZ,P,0.000,0.000
0,TVRZ,S,0.000,0.000
0,HRS,P,0.000,0.000
0,FTB,S,0.000,0.000
0,TBZ,P,0.000,0.000
0,TBZ,S,0.000,0.000
0,BST,P,0.000,0.000
0,BST,S,0.000,0.000
0,ORD,P,0.000,0.000
0,ORD,S,0.000,0.000
0,SRB,P,0.000,0.000
0,SRB,S,0.000,0.000
0,MRD,P,0.000,0.000
0,GRMI,P,0.000,0.000
0,GRMI,S,0.000,0.000
0,SHB,P,0.000,0.000
0,SHB,S,0.000,0.000
0,HSH,P,0.000,0.000
0,HSH,S,0.000,0.000
0,LRK,P,0.000,0.000
0,NAX,P,0.000,0.000
0,NAX,S,0.000,0.000
0,GLBA,P,0.000,0.000
0,ASTR,S,0.000,0.000
0,BRDA,P,0.000,0.000
0,MAKU,S,0.000,0.000
0,SAAT,P,0.000,0.000
0,ZRD,P,0.000,0.000
0,GANJ,P,0.000,0.000
0,ZNJK,P,0.000,0.000
0,GNI,S,0.000,0.000
0,VANB,P,0.000,0.000
0,VANB,S,0.000,0.000
1,TVRZ,S,0.000,0.000
1,TAHR,S,0.000,0.000
1,HRS,P,0.000,0.000
1,HRS,S,0.000,0.000
1,FTB,P,0.000,0.000
1,FTB,S,0.000,0.000
1,TABZ,P,0.000,0.000
1,TBZ,P,0.000,0.000
1,BST,P,0.000,0.000
1,BST,S,0.000,0.000
1,ORD,P,0.000,0.000
1,MRD,P,0.000,0.000
1,SHB,P,0.000,0.000
1,SRB,P,0.000,0.000
1,GRMI,P,0.000,0.000
1,GRMI,S,0.000,0.000
1,AZR,P,0.000,0.000
1,AZR,S,0.000,0.000
1,NAX,S,0.000,0.000
1,LRK,P,0.000,0.000
1,SBZ,P,0.000,0.000
1,GLBA,P,0.000,0.000
1,GLBA,S,0.000,0.000
1,ASTR,P,0.000,0.000
1,LKRN,S,0.000,0.000
1,BRDA,P,0.000,0.000
1,BRDA,S,0.000,0.000
1,MAKU,P,0.000,0.000
1,SAAT,S,0.000,0.000
1,GNI,P,0.000,0.000
1,GNI,S,0.000,0.000
1,ZNJK,S,0.000,0.000
1,VANB,P,0.000,0.000
2,TVRZ,S,0.000,0.000
2,HRS,P,0.000,0.000
2,HRS,S,0.000,0.000
2,TAHR,S,0.000,0.000
2,TABZ,S,0.000,0.000
2,FTB,S,0.000,0.000
2,TBZ,P,0.000,0.000
2,BST,P,0.000,0.000
2,ORD,S,0.000,0.000
2,MRD,P,0.000,0.000
2,SHB,P,0.000,0.000
2,SHB,S,0.000,0.000
2,SRB,P,0.000,0.000
2,SRB,S,0.000,0.000
2,HSH,S,0.000,0.000
2,LRK,P,0.000,0.000
2,GLBA,P,0.000,0.000
2,GLBA,S,0.000,0.000
2,ASTR,P,0.000,0.000
2,MAKU,S,0.000,0.000
2,BRDA,P,0.000,0.000
2,SAAT,P,0.000,0.000
2,ZRD,S,0.000,0.000
2,GNI,P,0.000,0.000
2,ZNJK,S,0.000,0.000
2,VANB,S,0.000,0.000
3,HRS,P,0.000,0.000
3,TAHR,S,0.000,0.000
3,TABZ,S,0.000,0.000
3,TBZ,P,0.000,0.000
3,TBZ,S,0.000,0.000
3,BST,P,0.000,0.000
3,BST,S,0.000,0.000
3,MRD,P,0.000,0.000
3,MRD,S,0.000,0.000
3,SHB,P,0.000,0.000
3,SRB,P,0.000,0.000
3,SRB,S,0.000,0.000
3,GRMI,P,0.000,0.000
3,HSH,S,0.000,0.000
3,NAX,P,0.000,0.000
3,LRK,P,0.000,0.000
3,SBZ,P,0.000,0.000
3,GLBA,P,0.000,0.000
3,ASTR,P,0.000,0.000
3,ASTR,S,0.000,0.000
3,MAKU,P,0.000,0.000
3,MAKU,S,0.000,0.000
3,BRDA,S,0.000,0.000
3,SAAT,P,0.000,0.000
3,SAAT,S,0.000,0.000
3,ZRD,P,0.000,0.000
3,GANJ,P,0.000,0.000
3,GANJ,S,0.000,0.000
3,GNI,P,0.000,0.000
3,ZNJK,P,0.000,0.000
3,ZNJK,S,0.000,0.000
3,VANB,S,0.000,0.000
4,TVRZ,S,0.000,0.000
4,TAHR,P,0.000,0.000
4,TAHR,S,0.000,0.000
4,HRS,P,0.000,0.000
4,TBZ,S,0.000,0.000
4,FTB,P,0.000,0.000
4,FTB,S,0.000,0.000
4,ORD,S,0.000,0.000
4,BST,P,0.000,0.000
4,MRD,P,0.000,0.000
4,MRD,S,0.000,0.000
4,SHB,P,0.000,0.000
4,GRMI,P,0.000,0.000
4,SRB,P,0.000,0.000
4,NAX,P,0.000,0.000
4,HSH,P,0.000,0.000
4,HSH,S,0.000,0.000
4,SBZ,P,0.000,0.000
4,GLBA,P,0.000,0.000
4,GLBA,S,0.000,0.000
4,ASTR,P,0.000,0.000
4,ASTR,S,0.000,0.000
4,LKRN,P,0.000,0.000
4,MAKU,P,0.000,0.000
4,MAKU,S,0.000,0.000
4,BRDA,P,0.000,0.000
4,SAAT,S,0.000,0.000
4,ZRD,S,0.000,0.000
4,GNI,P,0.000,0.000
4,ZNJK,P,0.000,0.000
4,ZNJK,S,0.000,0.000
4,VANB,P,0.000,0.000
4,VANB,S,0.000,0.000
5,TVRZ,S,0.000,0.000
5,HRS,P,0.000,0.000
5,HRS,S,0.000,0.000
5,TAHR,S,0.000,0.000
5,TABZ,S,0.000,0.000
5,FTB,S,0.000,0.000
5,TBZ,P,0.000,0.000
5,BST,P,0.000,0.000
5,BST,S,0.000,0.000
5,ORD,P,0.000,0.000
5,ORD,S,0.000,0.000
5,MRD,P,0.000,0.000
5,MRD,S,0.000,0.000
5,SHB,P,0.000,0.000
5,SRB,P,0.000,0.000
5,NAX,P,0.000,0.000
5,NAX,S,0.000,0.000
5,SBZ,P,0.000,0.000
5,LRK,P,0.000,0.000
5,LRK,S,0.000,0.000
5,GLBA,P,0.000,0.000
5,GLBA,S,0.000,0.000
5,ASTR,P,0.000,0.000
5,LKRN,P,0.000,0.000
5,LKRN,S,0.000,0.000
5,BRDA,P,0.000,0.000
5,SAAT,P,0.000,0.000
5,SAAT,S,0.000,0.000
5,GANJ,P,0.000,0.000
5,GNI,P,0.000,0.000
5,GNI,S,0.000,0.000
6,TVRZ,P,0.000,0.000
6,TVRZ,S,0.000,0.000
6,TAHR,S,0.000,0.000
6,HRS,P,0.000,0.000
6,HRS,S,0.000,0.000
6,TBZ,P,0.000,0.000
6,TBZ,S,0.000,0.000
6,TABZ,S,0.000,0.000
6,FTB,P,0.000,0.000
6,FTB,S,0.000,0.000
6,BST,P,0.000,0.000
6,BST,S,0.000,0.000
6,MRD,P,0.000,0.000
6,SHB,P,0.000,0.000
6,SHB,S,0.000,0.000
6,AZR,P,0.000,0.000
6,GRMI,P,0.000,0.000
6,GRMI,S,0.000,0.000
6,SRB,P,0.000,0.000
6,HSH,P,0.000,0.000
6,HSH,S,0.000,0.000
6,SBZ,P,0.000,0.000
6,SBZ,S,0.000,0.000
6,ASTR,P,0.000,0.000
6,BRDA,P,0.000,0.000
6,SAAT,S,0.000,0.000
6,ZRD,P,0.000,0.000
6,ZRD,S,0.000,0.000
6,GANJ,P,0.000,0.000
6,GNI,P,0.000,0.000
6,ZNJK,P,0.000,0.000
6,ZNJK,S,0.000,0.000
6,VANB,P,0.000,0.000
7,TVRZ,S,0.000,0.000
7,TAHR,S,0.000,0.000
7,HRS,P,0.000,0.000
7,HRS,S,0.000,0.000
7,TBZ,P,0.000,0.000
7,TBZ,S,0.000,0.000
7,TABZ,S,0.000,0.000
7,FTB,S,0.000,0.000
7,ORD,S,0.000,0.000
7,BST,P,0.000,0.000
7,BST,S,0.000,0.000
7,MRD,P,0.000,0.000
7,MRD,S,0.000,0.000
7,SHB,P,0.000,0.000
7,SHB,S,0.000,0.000
7,AZR,S,0.000,0.000
7,SRB,P,0.000,0.000
7,GRMI,P,0.000,0.000
7,NAX,S,0.000,0.000
7,HSH,S,0.000,0.000
7,MAKU,P,0.000,0.000
7,BRDA,S,0.000,0.000
7,GNI,P,0.000,0.000
7,ZNJK,P,0.000,0.000
8,HRS,P,0.000,0.000
8,HRS,S,0.000,0.000
8,TABZ,P,0.000,0.000
8,FTB,P,0.000,0.000
8,FTB,S,0.000,0.000
8,TBZ,P,0.000,0.000
8,TBZ,S,0.000,0.000
8,BST,P,0.000,0.000
8,BST,S,0.000,0.000
8,ORD,P,0.000,0.000
8,MRD,P,0.000,0.000
8,SHB,P,0.000,0.000
8,SHB,S,0.000,0.000
8,SRB,P,0.000,0.000
8,SRB,S,0.000,0.000
8,GRMI,P,0.000,0.000
8,GRMI,S,0.000,0.000
8,AZR,P,0.000,0.000
8,HSH,S,0.000,0.000
8,LRK,P,0.000,0.000
8,SBZ,P,0.000,0.000
8,GLBA,S,0.000,0.000
8,ASTR,S,0.000,0.000
8,LKRN,P,0.000,0.000
8,LKRN,S,0.000,0.000
8,BRDA,P,0.000,0.000
8,MAKU,P,0.000,0.000
8,MAKU,S,0.000,0.000
8,GANJ,P,0.000,0.000
8,GNI,S,0.000,0.000
8,ZNJK,P,0.000,0.000
8,VANB,P,0.000,0.000
8,VANB,S,0.000,0.000
9,HRS,P,0.000,0.000
9,TBZ,P,0.000,0.000
9,TBZ,S,0.000,0.000
9,BST,S,0.000,0.000
9,ORD,P,0.000,0.000
9,ORD,S,0.000,0.000
9,MRD,P,0.000,0.000
9,MRD,S,0.000,0.000
9,SRB,P,0.000,0.000
9,SHB,P,0.000,0.000
9,GRMI,P,0.000,0.000
9,GRMI,S,0.000,0.000
9,AZR,S,0.000,0.000
9,LRK,P,0.000,0.000
9,SBZ,P,0.000,0.000
9,SBZ,S,0.000,0.000
9,GLBA,P,0.000,0.000
9,GLBA,S,0.000,0.000
9,ASTR,P,0.000,0.000
9,LKRN,P,0.000,0.000
9,BRDA,P,0.000,0.000
9,BRDA,S,0.000,0.000
9,MAKU,P,0.000,0.000
9,MAKU,S,0.000,0.000
9,SAAT,P,0.000,0.000
9,SAAT,S,0.000,0.000
9,ZRD,P,0.000,0.000
9,ZRD,S,0.000,0.000
9,GANJ,P,0.000,0.000
9,ZNJK,P,0.000,0.000
9,ZNJK,S,0.000,0.000
9,GNI,P,0.000,0.000
9,VANB,P,0.000,0.000
9,VANB,S,0.000,0.000
10,HRS,P,0.000,0.000
10,HRS,S,0.000,0.000
10,TAHR,S,0.000,0.000
10,FTB,S,0.000,0.000
10,TABZ,S,0.000,0.000
10,TBZ,P,0.000,0.000
10,TBZ,S,0.000,0.000
10,BST,P,0.000,0.000
10,BST,S,0.000,0.000
10,ORD,P,0.000,0.000
10,ORD,S,0.000,0.000
10,MRD,P,0.000,0.000
10,MRD,S,0.000,0.000
10,SRB,P,0.000,0.000
10,SRB,S,0.000,0.000
10,SHB,P,0.000,0.000
10,GRMI,P,0.000,0.000
10,AZR,S,0.000,0.000
10,LRK,P,0.000,0.000
10,NAX,P,0.000,0.000
10,SBZ,P,0.000,0.000
10,GLBA,P,0.000,0.000
10,GLBA,S,0.000,0.000
10,ASTR,P,0.000,0.000
10,BRDA,P,0.000,0.000
10,MAKU,P,0.000,0.000
10,SAAT,P,0.000,0.000
10,SAAT,S,0.000,0.000
10,ZRD,P,0.000,0.000
10,ZRD,S,0.000,0.000
10,GANJ,P,0.000,0.000
10,ZNJK,P,0.000,0.000
10,GNI,S,0.000,0.000
11,TVRZ,S,0.000,0.000
11,TAHR,P,0.000,0.000
11,HRS,P,0.000,0.000
11,HRS,S,0.000,0.000
11,TBZ,P,0.000,0.000
11,TBZ,S,0.000,0.000
11,TABZ,P,0.000,0.000
11,ORD,P,0.000,0.000
11,BST,P,0.000,0.000
11,BST,S,0.000,0.000
11,MRD,P,0.000,0.000
11,SHB,P,0.000,0.000
11,SHB,S,0.000,0.000
11,AZR,S,0.000,0.000
11,SRB,P,0.000,0.000
11,NAX,P,0.000,0.000
11,HSH,P,0.000,0.000
11,HSH,S,0.000,0.000
11,SBZ,P,0.000,0.000
11,LRK,P,0.000,0.000
11,GLBA,P,0.000,0.000
11,LKRN,P,0.000,0.000
11,LKRN,S,0.000,0.000
11,MAKU,S,0.000,0.000
11,BRDA,P,0.000,0.000
11,BRDA,S,0.000,0.000
11,SAAT,P,0.000,0.000
11,ZRD,P,0.000,0.000
11,ZRD,S,0.000,0.000
11,GANJ,S,0.000,0.000
11,ZNJK,P,0.000,0.000
11,ZNJK,S,0.000,0.000
11,VANB,S,0.000,0.000
12,HRS,P,0.000,0.000
12,HRS,S,0.000,0.000
12,TAHR,S,0.000,0.000
12,TBZ,P,0.000,0.000
12,TBZ,S,0.000,0.000
12,TABZ,S,0.000,0.000
12,BST,P,0.000,0.000
12,ORD,S,0.000,0.000
12,MRD,P,0.000,0.000
12,SHB,P,0.000,0.000
12,SHB,S,0.000,0.000
12,SRB,P,0.000,0.000
12,SRB,S,0.000,0.000
12,GRMI,P,0.000,0.000
12,GRMI,S,0.000,0.000
12,SBZ,S,0.000,0.000
12,LKRN,S,0.000,0.000
12,MAKU,P,0.000,0.000
12,MAKU,S,0.000,0.000
12,ZRD,S,0.000,0.000
12,GNI,P,0.000,0.000
12,GNI,S,0.000,0.000
12,ZNJK,P,0.000,0.000
12,VANB,S,0.000,0.000
13,TVRZ,S,0.000,0.000
13,HRS,P,0.000,0.000
13,HRS,S,0.000,0.000
13,TBZ,P,0.000,0.000
13,TBZ,S,0.000,0.000
13,TABZ,P,0.000,0.000
13,ORD,S,0.000,0.000
13,BST,P,0.000,0.000
13,BST,S,0.000,0.000
13,MRD,P,0.000,0.000
13,SHB,P,0.000,0.000
13,AZR,P,0.000,0.000
13,SRB,P,0.000,0.000
13,GRMI,P,0.000,0.000
13,NAX,S,0.000,0.000
13,HSH,P,0.000,0.000
13,SBZ,P,0.000,0.000
13,SBZ,S,0.000,0.000
13,LRK,S,0.000,0.000
13,GLBA,S,0.000,0.000
13,ASTR,P,0.000,0.000
13,LKRN,P,0.000,0.000
13,MAKU,P,0.000,0.000
13,MAKU,S,0.000,0.000
13,BRDA,P,0.000,0.000
13,BRDA,S,0.000,0.000
13,SAAT,P,0.000,0.000
13,ZRD,P,0.000,0.000
13,GANJ,P,0.000,0.000
13,GANJ,S,0.000,0.000
13,ZNJK,P,0.000,0.000
13,ZNJK,S,0.000,0.000
13,VANB,S,0.000,0.000
14,HRS,P,0.000,0.000
14,HRS,S,0.000,0.000
14,TAHR,P,0.000,0.000
14,TAHR,S,0.000,0.000
14,FTB,P,0.000,0.000
14,TBZ,P,0.000,0.000
14,TBZ,S,0.000,0.000
14,BST,P,0.000,0.000
14,BST,S,0.000,0.000
14,SRB,P,0.000,0.000
14,ORD,P,0.000,0.000
14,MRD,P,0.000,0.000
14,MRD,S,0.000,0.000
14,SHB,P,0.000,0.000
14,SHB,S,0.000,0.000
14,AZR,P,0.000,0.000
14,HSH,P,0.000,0.000
