Longitude,Latitude,Depth,OriginTime,Mag,x,y,z
 46.8090, 38.4160,  4.2000,2012-08-11T12:23:15.400000Z,  6.5000,  5.1527, 18.4281,  4.2000
 46.7710, 38.4440, 21.7000,2012-08-11T12:28:46.100000Z,  3.5000,  1.8333, 21.5348, 21.7000
 46.6880, 38.3930, 13.3000,2012-08-11T12:49:15.500000Z,  4.6000, -5.4164, 15.8752, 13.3000
 46.6730, 38.3880,  4.1000,2012-08-11T13:14:05.500000Z,  4.4000, -6.7273, 15.3212,  4.1000
 46.7140, 38.4820, 10.0000,2012-08-11T13:23:14.900000Z,  3.7000, -3.1412, 25.7534, 10.0000
 46.6790, 38.4070, 13.8000,2012-08-11T13:42:11.400000Z,  4.0000, -6.2015, 17.4298, 13.8000
 46.6960, 38.4890, 27.1000,2012-08-11T14:14:53.600000Z,  2.8000, -4.7113, 26.5312, 27.1000
 46.6800, 38.4410, 12.5000,2012-08-11T14:25:15.200000Z,  4.3000, -6.1113, 21.2039, 12.5000
 46.7450, 38.4430,  8.0000,2012-08-11T14:55:57.200000Z,  3.1000, -0.4365, 21.4236,  8.0000
 46.7930, 38.4300, 16.8000,2012-08-11T15:21:14.500000Z,  4.7000,  3.7546, 19.9814, 16.8000
 46.7790, 38.4120, 15.1000,2012-08-11T16:00:50.200000Z,  4.0000,  2.5328, 17.9829, 15.1000
 46.6760, 38.4220, 16.4000,2012-08-11T16:15:04.000000Z,  2.7000, -6.4622, 19.0951, 16.4000
 46.6610, 38.4120, 19.9000,2012-08-11T16:21:52.800000Z,  4.1000, -7.7732, 17.9862, 19.9000
 46.6660, 38.4350, 15.1000,2012-08-11T16:34:32.400000Z,  3.3000, -7.3342, 20.5389, 15.1000
 46.8760, 38.4080, 21.3000,2012-08-11T17:37:58.300000Z,  2.1000, 11.0053, 17.5459, 21.3000
 46.8030, 38.4120, 10.0000,2012-08-11T17:45:44.300000Z,  2.5000,  4.6290, 17.9838, 10.0000
 46.8220, 38.4200, 16.9000,2012-08-11T17:49:25.400000Z,  2.6000,  6.2877, 18.8729, 16.9000
 46.8070, 38.3740, 10.0000,2012-08-11T17:58:33.100000Z,  4.1000,  4.9809, 13.7658, 10.0000
 46.6600, 38.3930,  5.4000,2012-08-11T18:13:03.200000Z,  3.0000, -7.8626, 15.8772,  5.4000
 46.6970, 38.4320, 19.9000,2012-08-11T18:21:44.500000Z,  2.6000, -4.6277, 20.2039, 19.9000
 46.8040, 38.4420, 19.9000,2012-08-11T19:12:04.600000Z,  2.9000,  4.7144, 21.3140, 19.9000
 46.7800, 38.4490, 26.4000,2012-08-11T19:29:29.300000Z,  2.6000,  2.6188, 22.0901, 26.4000
 46.9410, 38.4320, 22.2000,2012-08-11T19:30:45.100000Z,  2.7000, 16.6772, 20.2198, 22.2000
 46.8100, 38.4520, 20.0000,2012-08-11T19:40:17.100000Z,  2.6000,  5.2375, 22.4244, 20.0000
 46.7620, 38.4200, 14.1000,2012-08-11T20:10:29.900000Z,  3.4000,  1.0480, 18.8706, 14.1000
 46.8640, 38.3810,  4.1000,2012-08-11T20:29:18.600000Z,  2.6000,  9.9609, 14.5475,  4.1000
 46.7820, 38.4630, 20.0000,2012-08-11T20:37:27.400000Z,  2.3000,  2.7929, 23.6442, 20.0000
 46.6850, 38.4170, 14.0000,2012-08-11T20:45:46.600000Z,  2.9000, -5.6766, 18.5395, 14.0000
 46.6720, 38.4290, 12.3000,2012-08-11T21:13:21.200000Z,  2.4000, -6.8108, 19.8724, 12.3000
 46.7150, 38.4450, 20.0000,2012-08-11T21:18:35.100000Z,  2.6000, -3.0555, 21.6462, 20.0000
 46.8040, 38.4390, 18.2000,2012-08-11T21:21:14.000000Z,  2.7000,  4.7146, 20.9810, 18.2000
 46.8480, 38.4390, 19.1000,2012-08-11T21:33:50.700000Z,  3.1000,  8.5560, 20.9841, 19.1000
 46.6960, 38.4140, 14.0000,2012-08-11T22:04:32.200000Z,  3.7000, -4.7162, 18.2058, 14.0000
 46.7560, 38.4130, 17.4000,2012-08-11T22:12:46.700000Z,  3.3000,  0.5240, 18.0935, 17.4000
 46.7830, 38.4720, 14.9000,2012-08-11T23:40:52.700000Z,  2.2000,  2.8798, 24.6433, 14.9000
 46.7000, 38.4640, 11.4000,2012-08-11T23:58:13.400000Z,  3.4000, -4.3638, 23.7559, 11.4000
 46.6960, 38.4010,  7.2000,2012-08-12T00:10:52.700000Z,  2.5000, -4.7170, 16.7628,  7.2000
 46.7620, 38.4450, 17.5000,2012-08-12T00:15:22.800000Z,  3.1000,  1.0476, 21.6457, 17.5000
 46.7630, 38.4240, 19.2000,2012-08-12T00:34:16.300000Z,  3.8000,  1.1352, 19.3146, 19.2000
 46.7460, 38.4750, 19.8000,2012-08-12T00:41:26.300000Z,  2.7000, -0.3491, 24.9758, 19.8000
