                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS  ADS     MDS  GAP     RMS     ERH     ERZ
2012-08-11T12:23:15.330000Z  46.814  38.417   5.340   6.500   15  NaN  NaN  NaN  22.800   76   0.430   1.700   3.000
2012-08-11T12:28:46.190000Z  46.758  38.434  18.970   3.500    5  NaN  NaN  NaN  28.000  189   0.230   5.300   4.400
2012-08-11T12:49:15.370000Z  46.683  38.395   1.760   4.600   14  NaN  NaN  NaN  32.500   82   0.310   1.200   4.000
2012-08-11T13:14:05.470000Z  46.673  38.400   7.390   4.400   17  NaN  NaN  NaN  33.500   82   0.340   1.500   2.400
2012-08-11T13:23:15.070000Z  46.701  38.463  10.000   3.700    6  NaN  NaN  NaN  33.900  142   0.440   4.900  44.600
2012-08-11T13:42:11.300000Z  46.685  38.410   1.780   4.000   18  NaN  NaN  NaN  32.900   80   0.340   1.300   5.700
2012-08-11T14:14:54.990000Z  46.360  38.320  10.000   2.800    7  NaN  NaN  NaN  20.700  143   3.720   1.800   9.600
2012-08-11T14:25:15.560000Z  46.665  38.425   5.310   4.300   12  NaN  NaN  NaN  35.000  109   0.410   1.800   4.900
2012-08-11T14:55:57.110000Z  46.751  38.441  10.560   3.100    9  NaN  NaN  NaN  28.800  190   0.410   2.600   9.900
2012-08-11T15:21:14.560000Z  46.800  38.426   1.810   4.700   20  NaN  NaN  NaN  24.300  110   0.530   2.000   6.700
2012-08-11T16:00:50.410000Z  46.769  38.397  11.110   4.000   20  NaN  NaN  NaN  25.400   79   0.370   1.400   1.800
2012-08-11T16:15:04.110000Z  46.672  38.418  14.300   2.700   10  NaN  NaN  NaN  34.200  178   0.260   1.400   4.600
2012-08-11T16:21:53.290000Z  46.660  38.405  10.340   4.100    9  NaN  NaN  NaN  34.800  126   0.250   1.700   3.100
2012-08-11T16:34:32.700000Z  46.664  38.429   9.830   3.300   11  NaN  NaN  NaN  35.200  128   0.200   1.000   2.200
2012-08-11T17:37:58.510000Z  46.858  38.395  18.900   2.100    9  NaN  NaN  NaN  18.300  189   0.290   2.100   1.600
2012-08-11T17:45:43.910000Z  46.817  38.414  15.830   2.500   10  NaN  NaN  NaN  22.400  190   0.440   2.800   4.000
2012-08-11T17:49:25.290000Z  46.825  38.433  16.550   2.600   12  NaN  NaN  NaN  22.900  196   0.220   1.400   1.000
2012-08-11T17:58:33.100000Z  46.802  38.367  13.120   4.100   10  NaN  NaN  NaN  21.700  105   0.380   2.000   3.500
2012-08-11T18:13:03.170000Z  46.648  38.412  11.540   3.000    9  NaN  NaN  NaN  36.000  126   0.330   2.200   4.000
2012-08-11T18:21:44.660000Z  46.695  38.428  17.910   2.600   10  NaN  NaN  NaN  32.700  182   0.250   1.500   1.500
2012-08-11T19:12:04.800000Z  46.806  38.441  19.670   2.900   14  NaN  NaN  NaN  24.700  196   0.460   2.200   1.700
2012-08-11T19:29:29.770000Z  46.752  38.430  19.140   2.600    9  NaN  NaN  NaN  28.200  187   0.280   2.600   2.300
2012-08-11T19:30:45.440000Z  46.902  38.422  17.810   2.700   11  NaN  NaN  NaN  16.800  206   0.330   2.000   2.200
2012-08-11T19:40:17.540000Z  46.794  38.428  15.890   2.600   11  NaN  NaN  NaN  24.900  191   0.360   2.000   2.500
2012-08-11T20:10:30.070000Z  46.753  38.437  13.920   3.400    9  NaN  NaN  NaN  28.500  128   0.200   1.500   1.700
2012-08-11T20:29:18.060000Z  46.899  38.382  13.910   2.600    6  NaN  NaN  NaN  14.400  190   0.200   4.600   5.900
2012-08-11T20:37:27.660000Z  46.780  38.462  16.930   2.300    6  NaN  NaN  NaN  27.900  198   0.240   5.100   2.900
2012-08-11T20:45:46.030000Z  46.709  38.432  17.240   2.900   13  NaN  NaN  NaN  31.700  184   0.680   2.900   3.100
2012-08-11T21:13:21.180000Z  46.673  38.431  11.870   2.400    7  NaN  NaN  NaN  34.600  181   0.260   3.300  10.100
2012-08-11T21:18:35.190000Z  46.706  38.447  15.190   2.600   12  NaN  NaN  NaN  32.700  187   0.410   2.000   2.600
