                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS     ADS     MDS  GAP  RMS  ERH  ERZ
2012-08-11T12:23:15.400000Z  46.809  38.416   4.200   6.500   15   15    0 143.390  23.100  NaN  NaN None None
2012-08-11T12:28:46.100000Z  46.771  38.444  21.700   3.500    5    5    0  73.940  27.500  NaN  NaN None None
2012-08-11T12:49:15.500000Z  46.688  38.393  13.300   4.600   12   12    2 126.860  32.100  NaN  NaN None None
2012-08-11T13:14:05.500000Z  46.673  38.388   4.100   4.400   18   18    0 154.540  33.200  NaN  NaN None None
2012-08-11T13:23:14.900000Z  46.714  38.482  10.000   3.700    6    6    0  88.550  34.000  NaN  NaN None None
2012-08-11T13:42:11.400000Z  46.679  38.407  13.800   4.000   17   17    1 137.830  33.300  NaN  NaN None None
2012-08-11T14:14:53.600000Z  46.696  38.489  27.100   2.800    5    5    2  70.340  35.700  NaN  NaN None None
2012-08-11T14:25:15.200000Z  46.680  38.441  12.500   4.300   10   10    2 117.840  34.500  NaN  NaN None None
2012-08-11T14:55:57.200000Z  46.745  38.443   8.000   3.100    6    6    3  71.180  29.500  NaN  NaN None None
2012-08-11T15:21:14.500000Z  46.793  38.430  16.800   4.700   20   20    0 164.860  25.100  NaN  NaN None None
2012-08-11T16:00:50.200000Z  46.779  38.412  15.100   4.000   19   19    1 140.980  25.300  NaN  NaN None None
2012-08-11T16:15:04.000000Z  46.676  38.422  16.400   2.700    6    6    4  72.110  34.000  NaN  NaN None None
2012-08-11T16:21:52.800000Z  46.661  38.412  19.900   4.100   10   10    0 129.070  34.900  NaN  NaN None None
2012-08-11T16:34:32.400000Z  46.666  38.435  15.100   3.300    9    9    2 105.510  35.400  NaN  NaN None None
2012-08-11T17:37:58.300000Z  46.876  38.408  21.300   2.100    5    5    4  72.470  17.600  NaN  NaN None None
2012-08-11T17:45:44.300000Z  46.803  38.412  10.000   2.500    6    6    4  69.280  23.400  NaN  NaN None None
2012-08-11T17:49:25.400000Z  46.822  38.420  16.900   2.600    7    7    5  74.730  22.300  NaN  NaN None None
2012-08-11T17:58:33.100000Z  46.807  38.374  10.000   4.100    9    9    1 112.110  21.500  NaN  NaN None None
2012-08-11T18:13:03.200000Z  46.660  38.393   5.400   3.000    9    9    0 114.840  34.400  NaN  NaN None None
2012-08-11T18:21:44.500000Z  46.697  38.432  19.900   2.600    6    6    4  74.050  32.700  NaN  NaN None None
2012-08-11T19:12:04.600000Z  46.804  38.442  19.900   2.900    7    7    7  76.460  25.000  NaN  NaN None None
2012-08-11T19:29:29.300000Z  46.780  38.449  26.400   2.600    6    6    3  71.670  27.100  NaN  NaN None None
2012-08-11T19:30:45.100000Z  46.941  38.432  22.200   2.700    6    6    5  78.450  15.400  NaN  NaN None None
2012-08-11T19:40:17.100000Z  46.810  38.452  20.000   2.600    7    6    6  76.500  25.200  NaN  NaN None None
2012-08-11T20:10:29.900000Z  46.762  38.420  14.100   3.400    8    8    1 109.600  27.000  NaN  NaN None None
2012-08-11T20:29:18.600000Z  46.864  38.381   4.100   2.600    6    5    2  69.130  17.100  NaN  NaN None None
2012-08-11T20:37:27.400000Z  46.782  38.463  20.000   2.300    5    5    1  82.820  27.900  NaN  NaN None None
2012-08-11T20:45:46.600000Z  46.685  38.417  14.000   2.900    7    7    6  74.650  33.100  NaN  NaN None None
2012-08-11T21:13:21.200000Z  46.672  38.429  12.300   2.400    6    6    1  70.800  34.600  NaN  NaN None None
2012-08-11T21:18:35.100000Z  46.715  38.445  20.000   2.600    6    6    6  78.250  31.900  NaN  NaN None None
2012-08-11T21:21:14.000000Z  46.804  38.439  18.200   2.700    7    7    5  77.220  24.800  NaN  NaN None None
2012-08-11T21:33:50.700000Z  46.848  38.439  19.100   3.100    7    7    7  77.410  21.600  NaN  NaN None None
2012-08-11T22:04:32.200000Z  46.696  38.414  14.000   3.700    9    9    2 104.560  32.100  NaN  NaN None None
2012-08-11T22:12:46.700000Z  46.756  38.413  17.400   3.300    9    9    3 101.780  27.200  NaN  NaN None None
2012-08-11T23:40:52.700000Z  46.783  38.472  14.900   2.200    5    5    1  83.120  28.400  NaN  NaN None None
2012-08-11T23:58:13.400000Z  46.700  38.464  11.400   3.400    8    8    2 110.640  34.000  NaN  NaN None None
