                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS  ADS  MDS  GAP     RMS     ERH     ERZ
2012-08-11T12:23:15.030000Z  46.842  38.466   8.711   6.500  115  115    0    0    0   47   0.245   3.616   5.221
2012-08-11T12:49:15.100000Z  46.693  38.425  15.966   4.600   46   46    8    0    0   42   0.242   3.367   3.530
2012-08-11T13:42:11.270000Z  46.703  38.416  17.710   4.000   80   80   12    0    0   43   0.246   3.513   3.876
2012-08-11T14:25:15.190000Z  46.687  38.431  14.986   4.300   59   59   12    0    0   41   0.167   2.760   3.063
2012-08-11T15:21:14.370000Z  46.823  38.449  19.523   4.700  155  155    0    0    0   42   0.147   2.276   2.020
2012-08-11T16:00:50.070000Z  46.810  38.442  18.162   4.000   79   79    5    0    0   42   0.263   3.614   4.065
2012-08-11T16:15:04.200000Z  46.669  38.406  14.001   2.700   47   47   21    0    0   43   0.270   2.356   3.019
2012-08-11T16:21:53.050000Z  46.676  38.417  20.017   4.100   91   91    0    0    0   42   0.179   2.007   2.118
2012-08-11T16:34:32.470000Z  46.677  38.424  16.230   3.300  103  103   20    0    0   41   0.206   1.749   1.659
2012-08-11T17:37:58.520000Z  46.853  38.422  17.626   2.100   36   36   18    0    0   44   0.237   2.379   1.760
2012-08-11T17:45:44.000000Z  46.817  38.346  12.577   2.500    4    4    0    0    0   49   0.040   4.746   6.079
2012-08-11T17:49:25.280000Z  46.842  38.432  18.435   2.600   42   42   19    0    0   43   0.249   2.271   1.621
2012-08-11T18:21:44.680000Z  46.706  38.433  20.471   2.600   43   43   12    0    0   41   0.280   2.119   2.554
2012-08-11T19:12:04.640000Z  46.790  38.446  18.897   2.900   83   83   39    0    0   42   0.250   2.158   1.764
2012-08-11T19:29:29.880000Z  46.729  38.410  18.770   2.600   28   28   12    0    0   44   0.215   2.402   1.634
2012-08-11T19:30:45.400000Z  46.894  38.459  15.244   2.700   32   32   19    0    0   50   0.214   2.303   1.798
2012-08-11T19:40:17.280000Z  46.804  38.444  18.963   2.600   70   70   30    0    0   42   0.250   2.315   1.784
2012-08-11T20:10:29.800000Z  46.776  38.440  18.822   3.400   47   47    8    0    0   42   0.399   3.246   2.948
2012-08-11T20:45:45.900000Z  46.694  38.424  17.823   2.900   63   63   35    0    0   42   0.231   2.663   2.456
2012-08-11T21:18:35.200000Z  46.715  38.431  21.349   2.600   44   44   22    0    0   42   0.307   2.084   2.232
2012-08-11T21:21:14.300000Z  46.797  38.405  18.338   2.700   76   76   49    0    0   45   0.244   2.051   1.697
2012-08-11T21:33:50.960000Z  46.838  38.424  17.651   3.100   36   36   22    0    0   44   0.253   2.056   1.527
2012-08-11T22:04:32.040000Z  46.707  38.415  16.535   3.700   76   76   16    0    0   43   0.230   2.406   3.003
