                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS     ADS     MDS  GAP     RMS     ERH     ERZ
2012-08-11T12:23:15.400000Z  46.809  38.416   4.200   6.500   15   15    0 143.710  23.100  107   0.385   5.900 643.800
2012-08-11T12:28:46.100000Z  46.771  38.444  21.700   3.500    5    5    0  73.900  27.500  193   0.270  14.600  22.700
2012-08-11T12:49:15.500000Z  46.687  38.394  12.300   4.600   12   12    2 127.110  32.200  124   0.304   4.600  12.500
2012-08-11T13:14:05.500000Z  46.673  38.388   4.100   4.400   18   18    0 154.690  33.200   98   0.267   3.800 999.900
2012-08-11T13:23:14.900000Z  46.714  38.482  10.000   3.700    6    6    0  88.650  33.900  144   0.418   9.200  45.900
2012-08-11T13:42:11.400000Z  46.679  38.407  13.100   4.000   17   17    1 138.020  33.200   99   0.288   3.800  11.000
2012-08-11T14:14:53.600000Z  46.694  38.484  26.500   2.800    5    5    2  69.930  35.500  194   0.321  10.900  15.600
2012-08-11T14:25:15.000000Z  46.690  38.441  17.400   4.300   10   10    2 117.850  33.700  139   0.296   4.600   9.500
2012-08-11T14:55:57.200000Z  46.742  38.439   5.900   3.100    6    6    3  70.990  29.400  188   0.397   6.200  82.400
2012-08-11T15:21:14.500000Z  46.793  38.430  16.800   4.700   20   20    0 165.050  25.000  118   0.349   5.800  15.500
2012-08-11T16:00:50.200000Z  46.779  38.412  14.700   4.000   19   19    1 141.160  25.200  100   0.257   3.600   7.000
2012-08-11T16:15:04.100000Z  46.673  38.418  15.400   2.700    6    6    4  71.840  34.100  177   0.298   4.300  10.300
2012-08-11T16:21:52.800000Z  46.661  38.412  19.900   4.100   10   10    0 129.030  34.900  125   0.368   6.600  19.500
2012-08-11T16:34:32.400000Z  46.666  38.433  14.700   3.300    9    9    2 105.470  35.200  127   0.308   4.600  13.100
2012-08-11T17:37:58.200000Z  46.868  38.404  19.800   2.100    5    5    4  72.200  17.900  193   0.288   7.000   7.400
2012-08-11T17:45:43.600000Z  46.832  38.416  19.300   2.600    6    6    4  70.490  21.300  192   0.422   9.700  11.900
2012-08-11T17:49:25.400000Z  46.821  38.418  16.700   2.600    7    7    5  74.770  22.300  191   0.287   4.200   6.500
2012-08-11T17:58:33.100000Z  46.807  38.372  10.000   4.100    9    9    1 112.000  21.400  131   0.246   4.000  17.400
