eid,code,phase,noise,wet
0,HRS,P,0.000,0.000
0,TBZ,P,0.000,0.000
0,BST,P,0.000,0.000
0,ORD,P,0.000,0.000
0,MRD,P,0.000,0.000
0,GRMI,P,0.000,0.000
0,SHB,P,0.000,0.000
0,LRK,P,0.000,0.000
0,NAX,P,0.000,0.000
0,GLBA,P,0.000,0.000
0,BRDA,P,0.000,0.000
0,SAAT,P,0.000,0.000
0,ZRD,P,0.000,0.000
0,GANJ,P,0.000,0.000
0,ZNJK,P,0.000,0.000
1,HRS,P,0.000,0.000
1,TBZ,P,0.000,0.000
1,BST,P,0.000,0.000
1,MRD,P,0.000,0.000
1,SHB,P,0.000,0.000
2,HRS,P,0.000,0.000
2,HRS,S,0.000,0.000
2,TBZ,P,0.000,0.000
2,BST,P,0.000,0.000
2,MRD,P,0.000,0.000
2,SHB,P,0.000,0.000
2,SHB,S,0.000,0.000
2,SRB,P,0.000,0.000
2,LRK,P,0.000,0.000
2,GLBA,P,0.000,0.000
2,ASTR,P,0.000,0.000
2,BRDA,P,0.000,0.000
2,SAAT,P,0.000,0.000
2,GNI,P,0.000,0.000
3,HRS,P,0.000,0.000
3,TBZ,P,0.000,0.000
3,BST,P,0.000,0.000
3,MRD,P,0.000,0.000
3,SHB,P,0.000,0.000
3,SRB,P,0.000,0.000
3,GRMI,P,0.000,0.000
3,NAX,P,0.000,0.000
3,LRK,P,0.000,0.000
3,SBZ,P,0.000,0.000
3,GLBA,P,0.000,0.000
3,ASTR,P,0.000,0.000
3,MAKU,P,0.000,0.000
3,SAAT,P,0.000,0.000
3,ZRD,P,0.000,0.000
3,GANJ,P,0.000,0.000
3,GNI,P,0.000,0.000
3,ZNJK,P,0.000,0.000
4,HRS,P,0.000,0.000
4,BST,P,0.000,0.000
4,MRD,P,0.000,0.000
4,SHB,P,0.000,0.000
4,GRMI,P,0.000,0.000
4,SRB,P,0.000,0.000
5,HRS,P,0.000,0.000
5,HRS,S,0.000,0.000
5,TBZ,P,0.000,0.000
5,BST,P,0.000,0.000
5,ORD,P,0.000,0.000
5,MRD,P,0.000,0.000
5,SHB,P,0.000,0.000
5,SRB,P,0.000,0.000
5,NAX,P,0.000,0.000
5,SBZ,P,0.000,0.000
5,LRK,P,0.000,0.000
5,GLBA,P,0.000,0.000
5,ASTR,P,0.000,0.000
5,LKRN,P,0.000,0.000
5,BRDA,P,0.000,0.000
5,SAAT,P,0.000,0.000
5,GANJ,P,0.000,0.000
5,GNI,P,0.000,0.000
6,HRS,P,0.000,0.000
6,HRS,S,0.000,0.000
6,TBZ,P,0.000,0.000
6,BST,P,0.000,0.000
6,BST,S,0.000,0.000
6,MRD,P,0.000,0.000
6,SHB,P,0.000,0.000
7,HRS,P,0.000,0.000
7,HRS,S,0.000,0.000
7,TBZ,P,0.000,0.000
7,BST,P,0.000,0.000
7,BST,S,0.000,0.000
7,MRD,P,0.000,0.000
7,SHB,P,0.000,0.000
7,SRB,P,0.000,0.000
7,GRMI,P,0.000,0.000
7,MAKU,P,0.000,0.000
7,GNI,P,0.000,0.000
7,ZNJK,P,0.000,0.000
8,HRS,P,0.000,0.000
8,HRS,S,0.000,0.000
8,TBZ,P,0.000,0.000
8,TBZ,S,0.000,0.000
8,BST,P,0.000,0.000
8,BST,S,0.000,0.000
8,MRD,P,0.000,0.000
8,SHB,P,0.000,0.000
8,SRB,P,0.000,0.000
9,HRS,P,0.000,0.000
9,TBZ,P,0.000,0.000
9,ORD,P,0.000,0.000
9,MRD,P,0.000,0.000
9,SRB,P,0.000,0.000
9,SHB,P,0.000,0.000
9,GRMI,P,0.000,0.000
9,LRK,P,0.000,0.000
9,SBZ,P,0.000,0.000
9,GLBA,P,0.000,0.000
9,ASTR,P,0.000,0.000
9,LKRN,P,0.000,0.000
9,BRDA,P,0.000,0.000
9,MAKU,P,0.000,0.000
9,SAAT,P,0.000,0.000
9,ZRD,P,0.000,0.000
9,GANJ,P,0.000,0.000
9,ZNJK,P,0.000,0.000
9,GNI,P,0.000,0.000
9,VANB,P,0.000,0.000
10,HRS,P,0.000,0.000
10,HRS,S,0.000,0.000
10,TBZ,P,0.000,0.000
10,BST,P,0.000,0.000
10,ORD,P,0.000,0.000
10,MRD,P,0.000,0.000
10,SRB,P,0.000,0.000
10,SHB,P,0.000,0.000
10,GRMI,P,0.000,0.000
10,LRK,P,0.000,0.000
10,NAX,P,0.000,0.000
10,SBZ,P,0.000,0.000
10,GLBA,P,0.000,0.000
10,ASTR,P,0.000,0.000
10,BRDA,P,0.000,0.000
10,MAKU,P,0.000,0.000
10,SAAT,P,0.000,0.000
10,ZRD,P,0.000,0.000
10,GANJ,P,0.000,0.000
10,ZNJK,P,0.000,0.000
11,HRS,P,0.000,0.000
11,HRS,S,0.000,0.000
11,TBZ,P,0.000,0.000
11,TBZ,S,0.000,0.000
11,BST,P,0.000,0.000
11,BST,S,0.000,0.000
11,MRD,P,0.000,0.000
11,SHB,P,0.000,0.000
11,SHB,S,0.000,0.000
11,SRB,P,0.000,0.000
12,HRS,P,0.000,0.000
12,TBZ,P,0.000,0.000
12,BST,P,0.000,0.000
12,MRD,P,0.000,0.000
12,SHB,P,0.000,0.000
12,SRB,P,0.000,0.000
12,GRMI,P,0.000,0.000
12,MAKU,P,0.000,0.000
12,GNI,P,0.000,0.000
12,ZNJK,P,0.000,0.000
13,HRS,P,0.000,0.000
13,HRS,S,0.000,0.000
13,TBZ,P,0.000,0.000
13,BST,P,0.000,0.000
13,BST,S,0.000,0.000
