                        ORT     Lon     Lat     Dep  Mag  Nus  NuP  NuS  ADS     MDS  GAP     RMS     ERH     ERZ
2020-01-01T00:00:00.440000Z  52.418  33.868  14.470  NaN   14  NaN  NaN  NaN  56.800  213   0.840   3.500   3.700
2020-01-01T00:02:01.690000Z  52.410  33.558  14.960  NaN   13  NaN  NaN  NaN  58.500  179   0.410   2.100   2.300
2020-01-01T00:04:04.300000Z  52.418  33.478  18.520  NaN   14  NaN  NaN  NaN  85.100  261   0.760   5.600   6.400
2020-01-01T00:06:08.180000Z  52.833  34.040  21.890  NaN   14  NaN  NaN  NaN  81.900  115   0.360   1.200   2.400
2020-01-01T00:08:10.470000Z  52.555  33.951   3.230  NaN   14  NaN  NaN  NaN  43.600  131   0.320   1.100   1.000
2020-01-01T00:10:15.620000Z  52.708  33.964  37.900  NaN   14  NaN  NaN  NaN  25.000  187   0.590   1.700   3.200
2020-01-01T00:12:16.870000Z  52.544  33.589  12.370  NaN   14  NaN  NaN  NaN  62.000  222   0.420   3.700   2.700
2020-01-01T00:14:20.280000Z  52.760  33.865  26.890  NaN   14  NaN  NaN  NaN  32.900  153   0.460   2.000   3.000
2020-01-01T00:16:24.320000Z  52.660  34.029  28.270  NaN   13  NaN  NaN  NaN  33.300  172   0.440   1.800   2.400
2020-01-01T00:18:24.990000Z  52.635  33.682  18.110  NaN   14  NaN  NaN  NaN  65.200  200   0.610   3.200   3.200
2020-01-01T00:20:29.920000Z  52.523  33.805  22.770  NaN   14  NaN  NaN  NaN  49.500  181   0.580   2.500   4.100
2020-01-01T00:22:32.900000Z  52.394  33.734  20.230  NaN   14  NaN  NaN  NaN  42.300  151   0.450   1.800   2.000
2020-01-01T00:24:35.250000Z  52.521  33.591  28.190  NaN   14  NaN  NaN  NaN  68.600  192   0.350   3.300   4.200
2020-01-01T00:26:38.060000Z  52.411  33.729  30.190  NaN   14  NaN  NaN  NaN  62.600  246   0.390   3.200   6.200
2020-01-01T00:28:41.400000Z  52.556  34.045   5.080  NaN   13  NaN  NaN  NaN  30.700  166   0.350   1.100   1.000
2020-01-01T00:30:43.240000Z  52.646  33.787  17.540  NaN   14  NaN  NaN  NaN  63.400  187   0.830   3.800   4.700
2020-01-01T00:32:46.730000Z  52.674  33.864  17.270  NaN   14  NaN  NaN  NaN  65.300  135   0.240   0.900   1.300
2020-01-01T00:34:49.320000Z  52.653  33.507  26.400  NaN   13  NaN  NaN  NaN  73.800  183   0.600   2.800   4.000
2020-01-01T00:36:53.920000Z  52.689  33.988  27.180  NaN   14  NaN  NaN  NaN  24.000  199   0.370   1.800   1.300
2020-01-01T00:38:56.170000Z  52.344  33.588  14.760  NaN   14  NaN  NaN  NaN  52.100  175   0.460   1.700   2.300
