                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS     ADS     MDS  GAP  RMS  ERH  ERZ
2001-02-03T00:00:00.000000Z  52.613  33.850  15.500   4.100   11   11    9 107.350  40.500  NaN  NaN None None
2001-02-03T00:01:10.000000Z  52.676  33.466  17.700   2.200   12   12    9 119.440  79.700  NaN  NaN None None
2001-02-03T00:02:20.000000Z  52.886  33.870  23.100   4.300    7    7    7 118.410  69.600  NaN  NaN None None
2001-02-03T00:03:30.000000Z  52.532  33.999  13.600   1.000    9    9    6 100.330  53.900  NaN  NaN None None
2001-02-03T00:04:40.000000Z  52.538  33.652  13.500   1.700    9    9    8 123.080  70.300  NaN  NaN None None
2001-02-03T00:05:50.000000Z  52.670  33.895  17.000   2.300   10   10    8 101.170  33.400  NaN  NaN None None
2001-02-03T00:07:00.000000Z  52.538  33.842  13.600   2.700    9    9    7 120.660  52.900  NaN  NaN None None
2001-02-03T00:08:10.000000Z  52.704  33.519  18.500   2.000   11   11    7 113.310  71.500  NaN  NaN None None
2001-02-03T00:09:20.000000Z  52.655  33.620  17.200   2.300   10   10    6 110.400  61.800  NaN  NaN None None
2001-02-03T00:10:30.000000Z  52.530  34.112  13.800   2.200   11   11    8  86.060  28.100  NaN  NaN None None
2001-02-03T00:11:40.000000Z  52.932  33.944  24.400   3.700    8    8    7  96.690  23.500  NaN  NaN None None
2001-02-03T00:12:50.000000Z  52.535  33.401  12.800   1.600    8    8    6 142.540  73.700  NaN  NaN None None
2001-02-03T00:14:00.000000Z  52.577  33.767  14.500   0.300   10   10    9 112.780  50.000  NaN  NaN None None
2001-02-03T00:15:10.000000Z  52.648  33.779  17.400   2.500    9    9    6 119.760  45.700  NaN  NaN None None
2001-02-03T00:16:20.000000Z  52.468  33.599  12.100   5.000   10   10    6 112.540  55.400  NaN  NaN None None
2001-02-03T00:17:30.000000Z  52.812  33.596  20.700   0.800    7    7    7 123.360  84.100  NaN  NaN None None
2001-02-03T00:18:40.000000Z  52.772  33.669  19.800   3.700    8    8    8  96.550  77.900  NaN  NaN None None
2001-02-03T00:19:50.000000Z  52.482  33.736  12.300   3.600    8    8    8 100.710  57.900  NaN  NaN None None
2001-02-03T00:21:00.000000Z  52.779  33.799  20.000   1.100    9    9    9 103.690  39.600  NaN  NaN None None
2001-02-03T00:22:10.000000Z  52.563  33.790  13.600   0.500   12   12    8 109.640  48.600  NaN  NaN None None
2001-02-03T00:23:20.000000Z  52.869  34.029  23.000   3.300   10   10    8  98.110  13.300  NaN  NaN None None
2001-02-03T00:24:30.000000Z  52.524  33.269  12.900   3.200    8    8    6 132.200  78.700  NaN  NaN None None
