                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS  ADS  MDS  GAP     RMS     ERH     ERZ
2001-02-02T23:59:59.980000Z  52.608  33.849  14.975   4.100  100  100   63    0    0  137   0.037   0.148   0.134
2001-02-03T00:01:10.000000Z  52.674  33.501  17.970   2.200   49   49   28    0    0  183   0.075   0.269   0.220
2001-02-03T00:02:19.910000Z  52.871  33.870  22.182   4.300   43   43   32    0    0  133   0.072   0.308   0.290
2001-02-03T00:03:29.940000Z  52.532  34.000  12.250   1.000   58   58   29    0    0  119   0.091   0.472   0.239
2001-02-03T00:04:40.020000Z  52.539  33.661  14.005   1.700   67   67   51    0    0  162   0.069   0.165   0.148
2001-02-03T00:05:50.050000Z  52.667  33.902  16.957   2.300   91   91   49    0    0  131   0.053   0.188   0.168
2001-02-03T00:06:59.990000Z  52.541  33.831  13.157   2.700   72   72   40    0    0  139   0.058   0.159   0.147
2001-02-03T00:08:10.000000Z  52.694  33.538  19.444   2.000   86   86   37    0    0  178   0.072   0.243   0.249
2001-02-03T00:09:19.990000Z  52.645  33.628  17.958   2.300   67   67   35    0    0  166   0.050   0.181   0.170
2001-02-03T00:10:30.050000Z  52.529  34.122  13.302   2.200   86   86   54    0    0  107   0.071   0.316   0.165
2001-02-03T00:11:39.950000Z  52.917  33.943  23.843   3.700   35   35   20    0    0  124   0.076   0.341   0.276
2001-02-03T00:12:49.850000Z  52.549  33.426  11.374   1.600   13   13    9    0    0  196   0.074   0.416   0.250
2001-02-03T00:14:00.020000Z  52.574  33.765  14.532   0.300   78   78   53    0    0  148   0.048   0.164   0.130
2001-02-03T00:15:10.040000Z  52.647  33.786  17.887   2.500   59   59   29    0    0  145   0.046   0.133   0.108
2001-02-03T00:16:19.890000Z  52.476  33.597  12.756   5.000   88   88   36    0    0  172   0.067   0.212   0.145
2001-02-03T00:17:30.160000Z  52.801  33.615  21.374   0.800   37   37   30    0    0  166   0.087   0.439   0.370
2001-02-03T00:18:40.100000Z  52.760  33.684  20.179   3.700   64   64   50    0    0  158   0.056   0.207   0.235
2001-02-03T00:19:50.030000Z  52.482  33.731  12.326   3.600   77   77   56    0    0  152   0.045   0.172   0.072
2001-02-03T00:20:59.990000Z  52.773  33.801  20.109   1.100   88   88   57    0    0  142   0.058   0.127   0.128
2001-02-03T00:22:10.070000Z  52.569  33.792  13.904   0.500   81   81   40    0    0  144   0.041   0.149   0.126
2001-02-03T00:23:19.930000Z  52.851  34.020  22.469   3.300   51   51   29    0    0  117   0.079   0.453   0.406
2001-02-03T00:25:40.040000Z  52.924  34.044  25.822   1.000   25   25    9    0    0  114   0.062   0.497   0.455
2001-02-03T00:26:50.090000Z  52.551  33.757  14.951   0.800   80   80   51    0    0  149   0.048   0.149   0.119
2001-02-03T00:28:00.020000Z  52.245  33.811   4.330   1.400   52   52   42    0    0  135   0.109   0.283   0.172
2001-02-03T00:29:10.110000Z  52.857  34.123  22.993   1.400   45   45   12    0    0  108   0.202   0.525   0.433
2001-02-03T00:30:20.120000Z  52.714  33.717  19.640   0.700   97   97   47    0    0  154   0.047   0.163   0.146
2001-02-03T00:31:30.050000Z  52.521  33.725  13.757   1.600   97   97   56    0    0  153   0.046   0.163   0.094
2001-02-03T00:32:39.850000Z  52.560  33.512  13.268   1.100   57   57   33    0    0  184   0.099   0.289   0.315
2001-02-03T00:33:49.870000Z  52.270  33.661   5.548   2.200   47   47   25    0    0  162   0.086   0.364   0.217
2001-02-03T00:34:59.990000Z  52.747  33.354  21.745   1.800   16   16    8    0    0  202   0.032   0.392   0.288
2001-02-03T00:36:09.910000Z  52.741  33.979  19.528   2.300   61   61   49    0    0  122   0.059   0.279   0.199
2001-02-03T00:37:19.930000Z  52.411  34.126   9.054   1.300   16   16    8    0    0  104   0.077   0.504   0.307
2001-02-03T00:38:29.870000Z  52.940  33.806  23.866   1.500   35   35   18    0    0  140   0.098   0.412   0.372
2001-02-03T00:39:39.920000Z  52.473  33.496  11.843   1.200   54   54   41    0    0  187   0.083   0.322   0.204
2001-02-03T00:40:50.010000Z  52.611  33.858  14.950   0.600   84   84   45    0    0  136   0.038   0.147   0.142
2001-02-03T00:42:00.100000Z  52.630  33.771  17.265   0.700   76   76   43    0    0  147   0.053   0.130   0.108
2001-02-03T00:43:09.960000Z  52.473  33.677  11.575   2.300   70   70   35    0    0  160   0.050   0.202   0.090
2001-02-03T00:44:20.050000Z  52.672  33.911  17.172   2.600   75   75   47    0    0  130   0.056   0.191   0.148
