                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS     ADS     MDS  GAP     RMS     ERH     ERZ
2019-12-31T23:59:59.700000Z  52.399  33.841  13.100   4.100    7    7    7 127.830  60.300  217   0.873  10.400   9.000
2020-01-01T00:02:02.200000Z  52.407  33.573  17.300   2.200    7    7    7 120.140  58.000  177   0.993  19.800  20.400
2020-01-01T00:04:05.100000Z  52.395  33.460  28.000   4.300    7    7    7 141.400  87.800  264   1.085  26.500  43.400
2020-01-01T00:06:08.100000Z  52.827  34.038  21.600   1.100    7    7    7  96.270  81.300  116   0.321   3.000   5.000
2020-01-01T00:08:10.400000Z  52.560  33.950   3.000   1.700    7    7    7  94.090  43.600  130   0.354   3.300   2.500
2020-01-01T00:10:14.700000Z  52.727  33.945  51.300   2.300    7    7    7 103.100  25.900  191   0.292   4.100   4.400
2020-01-01T00:12:17.300000Z  52.554  33.639  11.800   2.600    7    7    7 117.640  60.100  214   0.704  14.200  10.500
2020-01-01T00:14:20.200000Z  52.775  33.946  45.400   2.100    7    7    7  87.090  23.900  142   0.775   9.200  13.000
2020-01-01T00:16:23.800000Z  52.679  33.982  22.600   2.300    7    7    7  93.590  38.300  180   0.785   7.800   6.200
2020-01-01T00:18:25.800000Z  52.597  33.682  53.900   2.300    7    7    7 108.270  61.900  200   0.929  12.000  25.200
2020-01-01T00:20:30.600000Z  52.499  33.823  30.100   3.700    7    7    7 105.040  49.400  178   0.538   5.900   4.800
2020-01-01T00:22:33.600000Z  52.364  33.706  27.000   1.700    7    7    7 108.440  41.000  156   0.687   6.900   7.300
2020-01-01T00:24:34.600000Z  52.498  33.631  60.100   0.400    7    7    7 102.410  66.400  187   0.423   6.900  11.300
2020-01-01T00:26:37.900000Z  52.407  33.736  28.200   2.600    7    7    7 130.840  62.300  247   0.552   8.100   6.700
2020-01-01T00:28:41.600000Z  52.544  34.085   5.200   5.000    7    7    7  71.830  30.000  160   0.575   4.400   2.700
2020-01-01T00:30:44.300000Z  52.638  33.810  23.600   0.800    7    7    7 118.660  62.300  184   1.159  12.800  19.800
2020-01-01T00:32:47.000000Z  52.675  33.860  19.600   3.700    7    7    7  93.890  65.300  136   0.295   2.800   4.900
2020-01-01T00:34:49.100000Z  52.658  33.571  58.500   3.700    7    7    7 106.730  66.800  175   1.192  12.600  24.400
2020-01-01T00:36:54.000000Z  52.697  33.983  29.500   1.200    7    7    7  93.410  24.000  201   0.489   6.600   3.900
2020-01-01T00:38:56.100000Z  52.348  33.596  14.800   0.500    7    7    7 103.830  52.500  174   0.780   7.800   9.000
