code,lat,lon,elv,x,y,z,r
AZR,37.678,45.984,2.273,-67.57432063857837,-63.21223824594437,2.273,92.53148585118166
BST,37.701,46.889,2.112,12.258393949209397,-60.92812697235034,2.112,62.149053722264014
FTB,38.017,46.394,1.665,-31.26125106483873,-25.802832769693186,1.665,40.534577795749065
GRMI,38.808,47.894,1.3,99.36969064068774,62.560099206492346,1.3,117.42274664966813
HRS,38.318,47.042,2.137,25.535934852559453,7.588442166010288,2.137,26.63960253646896
HSH,37.305,47.264,2.146,45.57165631343462,-104.76484255578708,2.146,114.24731110572652
LRK,38.643,48.34,1.592,138.42566391562315,44.819461275631774,1.592,145.5006822647884
MRD,38.713,45.702,2.142,-91.15115887385761,51.914627513587305,2.142,104.8983427606068
NAX,39.174,45.495,0.927,-108.45564311099676,103.31836319836641,0.927,149.79088989858315
SBZ,39.397,45.553,1.202,-103.1194852448505,128.0105004588891,1.202,164.37857666039753
SHB,38.283,45.619,2.29,-98.95508248229437,4.267941832597669,2.29,99.04707808191073
SRB,37.825,47.663,1.958,80.38209270923981,-46.77938543820017,1.958,93.0031812912468
TABZ,38.057,46.327,1.487,-37.12443642931545,-21.338241392410225,1.487,42.81990572052972
TAHR,38.49,47.051,1.413,26.260797949571618,26.683694929697552,1.413,37.43860419472649
TBZ,38.235,46.15,1.55,-52.53079300520856,-1.4947606258345933,1.55,52.55205536498657
TVRZ,38.504,46.668,1.693,-7.1527260277328235,28.19814390195616,1.693,29.091180951333584
ASTR,38.56,48.791,0.148,177.89265786731272,36.379887053474285,0.148,181.56220500232055
BRDA,40.263,47.179,0.10300000000000001,36.504215721280445,223.59346506465187,0.10300000000000001,226.52988829161686
GANJ,40.646,46.322,0.5740000000000001,-36.21756322187986,266.13827459208954,0.5740000000000001,268.5515786555143
GLBA,39.242,48.393,0.147,141.84999027032185,111.39834630867054,0.147,180.351516854496
GNI,40.1495,44.74139,1.583,-171.19171163047386,212.7974273214632,1.583,273.06872490100847
LKRN,38.71,48.779,0.065,176.48009296495854,53.007452961100164,0.065,184.2560257984264
LRK,38.643,48.34,1.592,138.42566391562315,44.819461275631774,1.592,145.49436286200077
MAKU,39.3548,44.6833,1.73,-178.14633035588813,124.66319006771518,1.73,217.41172175387732
NAX,39.174,45.495,0.927,-108.45564311099676,103.31836319836641,0.927,149.78399520004885
ORD,38.928,45.994,0.9450000000000001,-65.55801068206434,75.53384143769075,0.9450000000000001,100.01401600715454
SAAT,39.861,48.423,0.013000000000000001,143.17943825994843,180.1767230008996,0.013000000000000001,230.11409418972283
VANB,38.595,43.389,1.227,-292.7933465841791,43.635099046754455,1.227,295.9737607022164
ZNJK,36.67,48.685,2.2,173.01003934873452,-173.59222934072915,2.2,245.05496003228654
ZRD,40.279,47.684,0.03,79.45676469295557,225.69411927168935,0.03,239.2441630153747
