code,lat,lon,elv,x,y,z
APSL,  34.143,  53.762,   0.000, 116.395, -38.879,   0.000
AVTK,  34.050,  51.878,   0.000, -57.431, -49.742,   0.000
CBZA,  33.609,  51.783,   0.000, -66.546, -98.602,   0.000
DNOA,  34.324,  53.405,   0.000,  83.290, -19.152,   0.000
DQYH,  34.507,  51.871,   0.000, -57.763,   0.956,   0.000
FOUH,  34.773,  52.777,   0.000,  25.357,  30.320,   0.000
HLUH,  35.228,  51.513,   0.000, -89.854,  81.206,   0.000
LUEX,  33.874,  51.969,   0.000, -49.130, -69.312,   0.000
MGUS,  33.784,  53.762,   0.000, 116.889, -78.701,   0.000
QYDI,  35.404,  52.321,   0.000, -16.261, 100.306,   0.000
RAWC,  33.424,  53.764,   0.000, 117.567,-118.631,   0.000
RHPW,  34.148,  52.865,   0.000,  33.662, -38.986,   0.000
RPKV,  35.221,  51.788,   0.000, -64.825,  80.218,   0.000
VOCA,  34.680,  53.495,   0.000,  91.184,  20.417,   0.000
XBVK,  34.328,  52.689,   0.000,  17.393, -19.064,   0.000
